species,z_pred,m_PDG_GeV,ax,ay,sector,alpha_used,ds_eff,beta,gamma,m_pred_GeV,logm_pred
u,-0.866396,0.0022,2.6225,0.78,up,4.361511210581376,0.0803013676310828,0.02,-0.05,0.02440881515253637,-3.712810935184416
d,-0.658459,0.0047,2.6245,0.79,down,4.456469846755816,0.0803013676310828,0.02,-0.05,0.05678870962582043,-2.868417747206542
s,0.030744,0.095,2.5796,0.8098,down,4.456469846755816,0.0907761240992917,0.02,-0.05,1.2244244572358125,0.2024709027636962
e,-1.16649,0.000511,2.5385,0.74,leptons,4.425327846103062,0.06928668817481,0.02,-0.05,0.00612384560106916,-5.095565013609501
mu,0.056804,0.10566,2.6065,0.8187,leptons,4.425327846103062,0.0836703425627379,0.02,-0.05,1.3732673203639745,0.31719280584190146
c,0.594047,1.27,2.4883,0.8163,up,4.361511210581376,0.114231724349248,0.02,-0.05,14.228273319781437,2.655231063894772
tau,0.671466,1.77686,2.5755,0.8425,leptons,4.425327846103062,0.1102498400987594,0.02,-0.05,20.8206377746639,3.0359446955065006
b,0.866288,4.18,2.4765,0.83,down,4.456469846755816,0.1267061862911612,0.02,-0.05,50.61515519803269,3.924251041291844
t,1.717435,172.76,2.6385,0.9177,up,4.361511210581376,0.1449081837071287,0.02,-0.05,1907.1525492415205,7.553366596759468
nu1,-1.45178,1e-12,2.5795,0.7405,neutrinos,1.1287864401326415,0.0648186543150153,0.02,-0.05,1e-12,-27.631021115928547
nu2,-1.451643,8.7e-12,2.5588,0.7338,neutrinos,1.1287864401326415,0.0648186543150153,0.02,-0.05,0.008677557259966655,-4.747015211579213
nu3,-1.451501,5e-11,2.5703,0.7375,neutrinos,1.1287864401326415,0.0648186543150153,0.02,-0.05,0.04939635614091387,-3.0078786198385132
H,1.683119,125.1,2.5591,0.899938,bosons,3.4520009308762725,0.1497968330442737,0.02,-0.05,355.18490503304207,5.872638513123327
W,1.553851,80.4,2.4768,0.87625,bosons,3.4520009308762725,0.1267061862911612,0.02,-0.05,227.59319187487094,5.427559789128469
Z,1.595828,91.2,2.5681,0.895906,bosons,3.4520009308762725,0.1497968330442737,0.02,-0.05,262.7780868772559,5.571309899866206
