species,z_pred,m_PDG_GeV,ax,ay,sector,alpha_used,ds_eff,beta,gamma,m_pred_GeV,logm_pred
u,-0.866396,0.0022,2.6225,0.78,up,4.361511210581376,0.0803013676310828,0.02,-0.05,0.008563443951340528,-4.760252838977726
d,-0.658459,0.0047,2.6245,0.79,down,4.456469846755816,0.0803013676310828,0.02,-0.05,0.01992341409898926,-3.9158596509998516
s,0.030744,0.095,2.5796,0.8098,down,4.456469846755816,0.0907761240992917,0.02,-0.05,0.42956981511246695,-0.8449710010296136
e,-1.16649,0.000511,2.5385,0.74,leptons,4.425327846103062,0.06928668817481,0.02,-0.05,0.0021484536731382372,-6.14300691740281
mu,0.056804,0.10566,2.6065,0.8187,leptons,4.425327846103062,0.0836703425627379,0.02,-0.05,0.48178896249794,-0.7302490979514084
c,0.594047,1.27,2.4883,0.8163,up,4.361511210581376,0.114231724349248,0.02,-0.05,4.991763030564031,1.607789160101462
tau,0.671466,1.77686,2.5755,0.8425,leptons,4.425327846103062,0.1102498400987594,0.02,-0.05,7.3045890798173625,1.9885027917131908
b,0.866288,4.18,2.4765,0.83,down,4.456469846755816,0.1267061862911612,0.02,-0.05,17.75752087588387,2.876809137498534
t,1.717435,172.76,2.6385,0.9177,up,4.361511210581376,0.1449081837071287,0.02,-0.05,669.0940899844909,6.5059246929661585
nu1,-1.45178,1e-12,2.5795,0.7405,neutrinos,1.1287864401326415,0.0648186543150153,0.02,-0.05,1e-12,-27.631021115928547
nu2,-1.451643,8.7e-12,2.5588,0.7338,neutrinos,1.1287864401326415,0.0648186543150153,0.02,-0.05,0.008677557259966655,-4.747015211579213
nu3,-1.451501,5e-11,2.5703,0.7375,neutrinos,1.1287864401326415,0.0648186543150153,0.02,-0.05,0.04939635614091387,-3.0078786198385132
H,1.683119,125.1,2.5591,0.899938,bosons,3.4520009308762725,0.1497968330442737,0.02,-0.05,124.61096565339042,4.825196609330018
W,1.553851,80.4,2.4768,0.87625,bosons,3.4520009308762725,0.1267061862911612,0.02,-0.05,79.84744569318539,4.380117885335159
Z,1.595828,91.2,2.5681,0.895906,bosons,3.4520009308762725,0.1497968330442737,0.02,-0.05,92.19150559137411,4.523867996072896
