species,m_GeV,logm,q_target,z_target,ax,ay,z_predi,abs_err,ok,note,expansions
u,0.0022,-6.119297919,,-0.866506262,2.6225,0.78,-0.866396,0.0001104,TRUE,local_min_interior,0
d,0.0047,-5.36019277,,-0.658370413,2.6245,0.79,-0.658459,8.839e-05,TRUE,local_min_interior,0
s,0.095,-2.353878387,,0.030759225,2.5796,0.8098,0.030744,1.509e-05,TRUE,local_min_interior,0
e,0.000511,-7.579140968,,-1.166489736,2.5385,0.74,-1.16649,7.583e-08,TRUE,local_min_interior,0
mu,0.10566,-2.247528887,,0.056801148,2.6065,0.8187,0.056804,2.841e-06,TRUE,local_min_interior,0
c,1.27,0.23901690047049992,,0.594222689,2.4883,0.8163,0.594047,0.0001762,TRUE,local_min_interior,0
tau,1.77686,0.5748477616006503,,0.671493517,2.5755,0.8425,0.671466,2.765e-05,TRUE,local_min_interior,0
b,4.18,1.430311246536665,,0.866271628,2.4765,0.83,0.866288,1.648e-05,TRUE,local_min_interior,0
t,172.76,5.1519033480925005,,1.717471459,2.6385,0.9177,1.717435,3.662e-05,TRUE,local_min_interior,0
nu1,1e-12,-27.631021,,-1.4518,2.5795,0.7405,-1.45178,1.978e-05,TRUE,refined_lock,0
nu2,8.7e-12,-25.470946,,-1.45165,2.5588,0.7338,-1.451643,6.757e-06,TRUE,refined_lock,0
nu3,5e-11,-23.715411,,-1.4515,2.5703,0.7375,-1.451501,5.938e-07,TRUE,refined_lock,0
H,125.1,4.829113417472866,0.921940894,1.683074,2.5591,0.899938,1.683119,4.497e-05,TRUE,local_min_interior,0
W,80.4,4.387014176184921,0.8924676117456614,1.553868,2.4768,0.87625,1.553851,1.676e-05,TRUE,local_min_interior,0
Z,91.2,4.513054897080286,0.900870326,1.595805,2.5681,0.895906,1.595828,2.308e-05,TRUE,local_min_interior,0
