species,z,q_iso,logm_anchorfree,m_anchorfree_GeV
sp0,-1.2272294904329617,0.05,-5.55,0.0038874572434761303
virt1,-0.9550656539344784,0.15,-4.65,0.009561601930543505
virt2,-0.682901817435995,0.25,-3.75,0.023517745856009107
virt4,-0.13857414443902827,0.35,-2.85,0.057844320874838456
sp1,0.0049844523795729,0.45,-1.9500000000000002,0.14227407158651353
virt5,0.13358969205945503,0.55,-1.0499999999999998,0.34993774911115544
virt6,0.40575352855793856,0.65,-0.14999999999999947,0.8607079764250583
virt8,0.9500812015549052,0.75,0.75,2.117000016612675
sp2,1.2222450380533885,0.8999999999999999,2.0999999999999996,8.166169912567646
virt9,1.2222450380533885,0.8999999999999999,2.0999999999999996,8.166169912567646
