species,z,m_anchorfree_GeV,nearest_PDG,PDG_GeV,log_err
sp0,-1.2272294904329617,6.027056797526223e-05,e,0.000511,2.1375256989060967
virt1,-1.1427648515196394,0.00010621980274645875,e,0.000511,1.5708590322394302
virt2,-1.0583002126063168,0.00018719993646198116,e,0.000511,1.0041923655727638
virt3,-0.9738355736929944,0.0003299179183661039,e,0.000511,0.4375256989060956
virt4,-0.889370934779672,0.0005814416121937556,e,0.000511,0.12914096776056994
virt5,-0.8049062958663495,0.0010247226039275595,e,0.000511,0.6958076344272364
virt6,-0.7204416569530272,0.0018059533287242005,u,0.0022,0.19736874804879978
virt7,-0.6359770180397047,0.003182780796509667,u,0.0022,0.36929791861786665
virt9,-0.46704774021305984,0.005609277625013169,d,0.0047,0.17685943693279071
virt10,-0.3825831012997374,0.009885693513350885,d,0.0047,0.7435261035994571
virt11,-0.29811846238641504,0.0174223746394935,d,0.0047,1.3101927702661236
virt12,-0.2136538234730927,0.03070489062491461,s,0.095,1.1294549459517365
virt13,-0.12918918455977013,0.05411376622282163,s,0.095,0.56278827928507
virt14,-0.04472454564644779,0.09536916221554965,s,0.095,0.0038783873815964043
sp1,0.0049844523795729,0.16807695594952016,mu,0.10566,0.4641955539126341
virt15,0.039740093266874776,0.2962159094719502,mu,0.10566,1.0308622205793023
virt16,0.12420473218019712,0.5220457767610168,c,1.27,0.8890169004704984
virt17,0.20866937109351946,0.9200444146293243,c,1.27,0.3223502338038321
virt18,0.293134010006842,1.6214703050420811,tau,1.77686,0.09151442826731604
virt19,0.37759864892016437,2.8576511180631656,b,4.18,0.38031124653666426
virt20,0.46206328783348694,5.0362747237333645,b,4.18,0.18635542013000217
virt21,0.5465279267468093,8.8758431470482,b,4.18,0.7530220867966686
virt23,0.7154572045734542,15.642631884188171,b,4.18,1.319688753463335
virt24,0.7999218434867763,27.568302888001856,t,172.76,1.835236681425834
virt25,0.8843864824000991,48.5858984441642,t,172.76,1.2685700147591676
virt26,0.9688511213134214,85.62694400220052,t,172.76,0.7019033480925012
virt27,1.0533157602267438,150.90743968812308,t,172.76,0.13523668142583478
virt28,1.1377803991400661,265.95665206315505,t,172.76,0.43142998524083165
sp2,1.2222450380533885,622.2446437483355,t,172.76,1.2814299852408295
virt29,1.2222450380533885,622.2446437483355,t,172.76,1.2814299852408295
