ax,ay,ok,sin2,cond
2.57,0.78,64,0.2325623411,3.300096868
2.57,0.7825,0,nan,nan
2.57,0.785,0,nan,nan
2.57,0.7875,0,nan,nan
2.57,0.79,0,nan,nan
2.57,0.7925,0,nan,nan
2.57,0.795,0,nan,nan
2.57,0.7975,0,nan,nan
2.57,0.8,0,nan,nan
2.57,0.8025,0,nan,nan
2.57,0.805,0,nan,nan
2.57,0.8075,0,nan,nan
2.57,0.81,0,nan,nan
2.57,0.8125,0,nan,nan
2.57,0.815,0,nan,nan
2.57,0.8175,0,nan,nan
2.57,0.82,0,nan,nan
2.575,0.78,0,nan,nan
2.575,0.7825,0,nan,nan
2.575,0.785,0,nan,nan
2.575,0.7875,0,nan,nan
2.575,0.79,0,nan,nan
2.575,0.7925,0,nan,nan
2.575,0.795,0,nan,nan
2.575,0.7975,0,nan,nan
2.575,0.8,0,nan,nan
2.575,0.8025,0,nan,nan
2.575,0.805,0,nan,nan
2.575,0.8075,0,nan,nan
2.575,0.81,0,nan,nan
2.575,0.8125,0,nan,nan
2.575,0.815,0,nan,nan
2.575,0.8175,0,nan,nan
2.575,0.82,0,nan,nan
2.58,0.78,0,nan,nan
2.58,0.7825,0,nan,nan
2.58,0.785,0,nan,nan
2.58,0.7875,0,nan,nan
2.58,0.79,0,nan,nan
2.58,0.7925,0,nan,nan
2.58,0.795,0,nan,nan
2.58,0.7975,0,nan,nan
2.58,0.8,0,nan,nan
2.58,0.8025,0,nan,nan
2.58,0.805,0,nan,nan
2.58,0.8075,0,nan,nan
2.58,0.81,0,nan,nan
2.58,0.8125,0,nan,nan
2.58,0.815,0,nan,nan
2.58,0.8175,0,nan,nan
2.58,0.82,0,nan,nan
2.585,0.78,0,nan,nan
2.585,0.7825,0,nan,nan
2.585,0.785,0,nan,nan
2.585,0.7875,0,nan,nan
2.585,0.79,0,nan,nan
2.585,0.7925,0,nan,nan
2.585,0.795,0,nan,nan
2.585,0.7975,0,nan,nan
2.585,0.8,0,nan,nan
2.585,0.8025,0,nan,nan
2.585,0.805,0,nan,nan
2.585,0.8075,0,nan,nan
2.585,0.81,0,nan,nan
2.585,0.8125,0,nan,nan
2.585,0.815,0,nan,nan
2.585,0.8175,0,nan,nan
2.585,0.82,0,nan,nan
2.59,0.78,0,nan,nan
2.59,0.7825,0,nan,nan
2.59,0.785,0,nan,nan
2.59,0.7875,0,nan,nan
2.59,0.79,0,nan,nan
2.59,0.7925,0,nan,nan
2.59,0.795,0,nan,nan
2.59,0.7975,0,nan,nan
2.59,0.8,0,nan,nan
2.59,0.8025,0,nan,nan
2.59,0.805,0,nan,nan
2.59,0.8075,0,nan,nan
2.59,0.81,0,nan,nan
2.59,0.8125,0,nan,nan
2.59,0.815,0,nan,nan
2.59,0.8175,0,nan,nan
2.59,0.82,0,nan,nan
2.595,0.78,0,nan,nan
2.595,0.7825,0,nan,nan
2.595,0.785,0,nan,nan
2.595,0.7875,0,nan,nan
2.595,0.79,0,nan,nan
2.595,0.7925,0,nan,nan
2.595,0.795,0,nan,nan
2.595,0.7975,0,nan,nan
2.595,0.8,0,nan,nan
2.595,0.8025,0,nan,nan
2.595,0.805,0,nan,nan
2.595,0.8075,0,nan,nan
2.595,0.81,0,nan,nan
2.595,0.8125,0,nan,nan
2.595,0.815,0,nan,nan
2.595,0.8175,0,nan,nan
2.595,0.82,0,nan,nan
2.6,0.78,0,nan,nan
2.6,0.7825,0,nan,nan
2.6,0.785,0,nan,nan
2.6,0.7875,0,nan,nan
2.6,0.79,0,nan,nan
2.6,0.7925,0,nan,nan
2.6,0.795,0,nan,nan
2.6,0.7975,0,nan,nan
2.6,0.8,0,nan,nan
2.6,0.8025,0,nan,nan
2.6,0.805,0,nan,nan
2.6,0.8075,0,nan,nan
2.6,0.81,0,nan,nan
2.6,0.8125,0,nan,nan
2.6,0.815,0,nan,nan
2.6,0.8175,0,nan,nan
2.6,0.82,0,nan,nan
2.605,0.78,0,nan,nan
2.605,0.7825,0,nan,nan
2.605,0.785,0,nan,nan
2.605,0.7875,0,nan,nan
2.605,0.79,0,nan,nan
2.605,0.7925,0,nan,nan
2.605,0.795,0,nan,nan
2.605,0.7975,0,nan,nan
2.605,0.8,0,nan,nan
2.605,0.8025,0,nan,nan
2.605,0.805,0,nan,nan
2.605,0.8075,0,nan,nan
2.605,0.81,0,nan,nan
2.605,0.8125,0,nan,nan
2.605,0.815,0,nan,nan
2.605,0.8175,0,nan,nan
2.605,0.82,0,nan,nan
2.61,0.78,0,nan,nan
2.61,0.7825,0,nan,nan
2.61,0.785,0,nan,nan
2.61,0.7875,0,nan,nan
2.61,0.79,0,nan,nan
2.61,0.7925,0,nan,nan
2.61,0.795,0,nan,nan
2.61,0.7975,0,nan,nan
2.61,0.8,0,nan,nan
2.61,0.8025,0,nan,nan
