ax,ay,sin2_mean,sin2_std,g_mean,gp_mean,mW_mean,mW_std,mZ_mean,mZ_std
0.700000,1.000000,0.528281,0.005241,0.533451,0.564551,65.614523,0.902318,95.537310,1.353139
0.700000,1.200000,0.542232,0.005630,0.506497,0.551291,62.299124,0.900545,92.084001,1.482016
0.700000,1.400000,0.552235,0.006072,0.480929,0.534155,59.154294,0.894055,88.408885,1.560801
0.700000,1.600000,0.559527,0.006472,0.457629,0.515854,56.288352,0.881003,84.820809,1.600532
0.700000,1.800000,0.564927,0.006811,0.436693,0.497697,53.713210,0.863501,81.442521,1.614337
0.700000,2.000000,0.568901,0.007058,0.417929,0.480191,51.405320,0.842445,78.302529,1.602581
0.700000,2.200000,0.571821,0.007344,0.401071,0.463585,49.331775,0.819637,75.400906,1.585864
0.850000,1.000000,0.511373,0.005136,0.556065,0.568862,68.396019,0.912613,97.847080,1.203043
0.850000,1.200000,0.527304,0.005224,0.535034,0.565115,65.809139,0.902517,95.721427,1.343992
0.850000,1.400000,0.539360,0.005528,0.512776,0.554902,63.071435,0.901174,92.933902,1.456472
0.850000,1.600000,0.548504,0.005892,0.491206,0.541465,60.418351,0.897457,89.923411,1.533717
0.850000,1.800000,0.555510,0.006243,0.471045,0.526663,57.938585,0.889448,86.911152,1.581229
0.850000,2.000000,0.560945,0.006556,0.452494,0.511540,55.656800,0.877187,84.004840,1.605668
0.850000,2.200000,0.565198,0.006830,0.435531,0.496648,53.570369,0.862389,81.251323,1.614587
1.000000,1.000000,0.496307,0.005379,0.568455,0.564256,69.920013,0.944900,98.518588,1.099209
1.000000,1.200000,0.513170,0.005128,0.554119,0.568914,68.156580,0.910662,97.684451,1.218155
1.000000,1.400000,0.526608,0.005213,0.536138,0.565491,65.945001,0.902670,95.848409,1.337476
1.000000,1.600000,0.537210,0.005459,0.517210,0.557281,63.616860,0.901465,93.519236,1.436849
1.000000,1.800000,0.545582,0.005764,0.498617,0.546397,61.329872,0.899226,90.985503,1.510426
1.000000,2.000000,0.552235,0.006072,0.480929,0.534155,59.154296,0.894053,88.408882,1.560799
1.000000,2.200000,0.557568,0.006358,0.464367,0.521370,57.117170,0.885547,85.878516,1.591996
1.150000,1.000000,0.483299,0.005807,0.573489,0.554614,70.539138,0.998106,98.130994,1.051753
1.150000,1.200000,0.500288,0.005285,0.565859,0.566173,69.600664,0.933397,98.458784,1.122128
1.150000,1.400000,0.514467,0.005125,0.552648,0.568881,67.975749,0.909410,97.555439,1.229189
1.150000,1.600000,0.526087,0.005205,0.536953,0.565758,66.045192,0.902804,95.941209,1.332615
1.150000,1.800000,0.535542,0.005410,0.520502,0.558949,64.021771,0.901624,93.945101,1.421389
1.150000,2.000000,0.543238,0.005668,0.504197,0.549902,62.016224,0.900220,91.766876,1.490712
1.150000,2.200000,0.549525,0.005940,0.488489,0.539583,60.084092,0.896690,89.527440,1.541468
1.300000,1.000000,0.472269,0.006298,0.573321,0.542316,70.518423,1.061922,97.070767,1.048510
1.300000,1.200000,0.488827,0.005603,0.572008,0.559342,70.356995,0.972402,98.405748,1.066201
1.300000,1.400000,0.503228,0.005230,0.563629,0.567272,69.326422,0.926280,98.360938,1.141208
1.300000,1.600000,0.515447,0.005124,0.551500,0.568815,67.834497,0.908502,97.451224,1.237431
1.300000,1.800000,0.525683,0.005198,0.537578,0.565957,66.122115,0.902904,96.011968,1.328839
1.300000,2.000000,0.534212,0.005374,0.523040,0.560172,64.333876,0.901738,94.267962,1.408961
1.300000,2.200000,0.541318,0.005596,0.508541,0.552496,62.550580,0.900782,92.363298,1.473984
