dx,dy,sin2_mean,sin2_std,condG,condA,min_angle_deg,min_area,min_star,ok
0,0,0.2229046097,0.009598817421,3.495492068,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
1,0,0.2587288774,0.01136768213,2.871824205,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
2,0,0.2585431972,0.01149076799,2.874763467,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
3,0,0.2585265867,0.01126294869,2.874740594,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
4,0,0.2584913243,0.01136515672,2.87539355,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
5,0,0.2585105509,0.01142910766,2.875177217,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
6,0,0.2585021729,0.01136790734,2.875225432,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
7,0,0.2584832547,0.01130935384,2.875436777,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
8,0,0.2584691831,0.01137986825,2.875746146,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
9,0,0.2584872519,0.01143942045,2.875546608,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
10,0,0.2585156194,0.01143650757,2.875104073,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
11,0,0.2584607566,0.01138776314,2.875876881,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
12,0,0.2585476967,0.01135992541,2.874533975,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
13,0,0.2585896362,0.01141590125,2.873957692,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
14,0,0.2584589159,0.01140602799,2.875929045,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
15,0,0.2585040536,0.01137747046,2.875196681,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
16,0,0.2584855481,0.01141572338,2.875523686,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
17,0,0.2586090861,0.01134616076,2.873601338,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
18,0,0.2585581266,0.01128294759,2.874303964,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
19,0,0.2229269275,0.009558198936,3.494966425,1.334200893e+12,0.8789623698,0.002364324464,1e-12,64
