ax,ay,ds
2.52,0.72,0.0603915350043075
2.4957,0.725,0.0618695481995924
2.5,0.72,0.0633437524016918
2.5863,0.755219,0.0648186543150153
2.48,0.72,0.0662989300724515
2.52,0.733,0.0677872054449296
2.52,0.74,0.06928668817481
2.5089,0.74475,0.0708005336643445
2.44,0.72,0.0723316012809168
2.5359,0.763,0.0738807612811084
2.4,0.72,0.0754500894701062
2.58,0.78,0.0770420286586728
2.58,0.79,0.0786587623437074
2.6,0.8,0.0803013676310828
2.58,0.8,0.0819715837516797
2.604,0.8175,0.0836703425627379
2.598,0.815,0.0853987334435308
2.6,0.81,0.0871585006848762
2.502,0.7875,0.0889507203326162
2.58,0.81,0.0907761240992917
2.435475,0.7715,0.0926364001115658
2.6,0.82,0.0945319876459867
2.58,0.82,0.0964643026162774
2.6,0.83,0.0984348870768328
2.58,0.83,0.1004449321739176
2.5599,0.8325,0.1024950273453157
2.5764,0.8385,0.1063406507306144
2.5716,0.8415,0.1102498400987594
2.5143,0.825,0.114231724349248
2.5677,0.8515,0.1182954823444596
2.5128,0.83625,0.1224506852040512
2.457,0.855,0.1267061862911612
2.62,0.9,0.131071035591659
2.6058,0.90990625,0.1355536964435209
2.62,0.91,0.1401631548937662
2.64,0.92,0.1449081837071287
2.5578,0.902,0.1497968330442737
2.62,0.92,0.1548372745054866
