m,nu,minabs
0.0,0.0,0.31795597619194027
0.02,0.0,0.3048654019115431
0.04,0.0,0.29209508349938385
0.06,0.0,0.2796609489025953
0.08,0.0,0.2675792210781203
0.1,0.0,0.2558663068768957
0.12,0.0,0.24453866423439752
0.14,0.0,0.23361264697798878
0.16,0.0,0.22310432725934465
0.18,0.0,0.21302929646097424
0.2,0.0,0.20340244637632704
0.22,0.0,0.19423773346850343
0.24,0.0,0.1855479300042011
0.26,0.0,0.17734436676032977
0.28,0.0,0.1696366727416073
0.3,0.0,0.16243251788136104
0.32,0.0,0.15573736501562155
0.34,0.0,0.14955423755500893
0.36,0.0,0.1438835092959972
0.38,0.0,0.1387227227841589
0.4,0.0,0.13406644260248532
0.42,0.0,0.12990614986349447
0.44,0.0,0.1262301838828458
0.46,0.0,0.12302373625870056
0.48,0.0,0.12026890109004325
0.5,0.0,0.11794478261719354
0.52,0.0,0.1160276581045095
0.54,0.0,0.11449118950132202
0.56,0.0,0.11330667274665228
0.58,0.0,0.11244330912360584
0.6,0.0,0.1118684794255834
0.62,0.0,0.11154799932703553
0.64,0.0,0.11144633345442417
0.66,0.0,0.11152674615425898
0.68,0.0,0.1117513686100615
0.7000000000000001,0.0,0.1120811645543389
0.72,0.0,0.11247578047694749
0.74,0.0,0.1128932718053399
0.76,0.0,0.11328970616742191
0.78,0.0,0.11361866268805618
0.8,0.0,0.11383067925281233
0.8200000000000001,0.0,0.11387275780461742
0.84,0.0,0.11368813210052138
0.86,0.0,0.11034815507284579
0.88,0.0,0.10678888888809593
0.9,0.0,0.10321915598700673
0.92,0.0,0.09965364693289643
0.9400000000000001,0.0,0.09610907768198369
0.96,0.0,0.09260399850468164
0.98,0.0,0.08915865477610484
1.0,0.0,0.0857949003016837
1.02,0.0,0.082536158663311
1.04,0.0,0.07940742142055729
1.06,0.0,0.07643526280435452
1.08,0.0,0.07364783755844226
1.1,0.0,0.0710748107776033
1.12,0.0,0.06874714594150809
1.1400000000000001,0.0,0.06485807383046639
1.16,0.0,0.06030734605480214
1.18,0.0,0.05602254097805784
1.2,0.0,0.052063182298005696
1.22,0.0,0.04847893158374325
1.24,0.0,0.04530779430884707
1.26,0.0,0.04257428639556822
1.28,0.0,0.04028813079925353
1.3,0.0,0.03844405021921796
1.32,0.0,0.03702298008840797
1.34,0.0,0.03599462190139867
1.36,0.0,0.03532087426861748
1.3800000000000001,0.0,0.034959492173866256
1.4000000000000001,0.0,0.03486738454594874
1.42,0.0,0.03500318361412738
1.44,0.0,0.03532897378975349
1.46,0.0,0.035811257147339313
1.48,0.0,0.036421327621086574
1.5,0.0,0.03713524445509831
1.52,0.0,0.037933570258112954
1.54,0.0,0.038800998143020134
1.56,0.0,0.03972595245613675
1.58,0.0,0.0407002154490499
1.6,0.0,0.041718609028598065
1.62,0.0,0.04277874486834384
1.6400000000000001,0.0,0.043880845260694114
1.6600000000000001,0.0,0.045027628662225816
1.68,0.0,0.0462242455974712
1.7,0.0,0.04747824009656017
1.72,0.0,0.048799496456467154
1.74,0.0,0.0502001070789607
1.76,0.0,0.051694057891894206
1.78,0.0,0.05329655921561778
1.8,0.0,0.0550227161450255
1.82,0.0,0.05688493571408555
1.84,0.0,0.05888773231157741
1.86,0.0,0.06101668123069853
1.8800000000000001,0.0,0.0632139741507651
1.9000000000000001,0.0,0.0653329198456448
1.92,0.0,0.06713397146671837
1.94,0.0,0.06851517257958031
1.96,0.0,0.06966652654514366
1.98,0.0,0.07080138352529274
2.0,0.0,0.07202443294908963
