ax,ay,sin2_mean,sin2_std,condG_mean,condG_std,Gxx_mean,Gyy_mean,Gxy_mean,n_ok,n_total,n_bad
1.3,0.95,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.3,1,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.3,1.05,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.3,1.1,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.35,0.95,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.35,1,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.35,1.05,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.35,1.1,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.4,0.95,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.4,1,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.4,1.05,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.4,1.1,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.45,0.95,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.45,1,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.45,1.05,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.45,1.1,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.5,0.95,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.5,1,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.5,1.05,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.5,1.1,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.55,0.95,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.55,1,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.55,1.05,nan,nan,nan,nan,nan,nan,nan,0,16,16
1.55,1.1,nan,nan,nan,nan,nan,nan,nan,0,16,16
