species,sector,ax,ay,z_pred,ds_eff,alpha_used,m_PDG_GeV,m_pred_GeV,logm_pred
u,up,2.6225,0.78,-0.866396,0.08344487982224873,4.361511210581376,0.0022,0.04153428907631202,-3.181235950093467
d,down,2.6245,0.79,-0.658459,0.08349764991367975,4.456469846755816,0.0047,0.04331091408802385,-3.1393506182747024
s,down,2.5796,0.8098,0.030744,0.09063637019897883,4.456469846755816,0.095,0.050126765040909606,-2.993200181189133
e,leptons,2.5385,0.74,-1.16649,0.07011658927078232,4.425327846103062,0.000511,0.03974649301032102,-3.2252336679293983
mu,leptons,2.6065,0.8187,0.056804,0.0866170596149465,4.425327846103062,0.10566,0.05039881799730407,-2.9877875566142698
c,up,2.4883,0.8163,0.594047,0.10887825131549499,4.361511210581376,1.27,0.05750024280459565,-2.855966108499128
tau,leptons,2.5755,0.8425,0.671466,0.10976757011333257,4.425327846103062,1.77686,0.058718378482891506,-2.835002509449336
b,down,2.4765,0.83,0.866288,0.12149283374949468,4.456469846755816,4.18,0.06249547484761799,-2.7726611272990764
t,up,2.6385,0.9177,1.717435,0.1455406324264993,4.361511210581376,172.76,0.0819865575545368,-2.501199977417992
nu1,neutrinos,2.5795,0.7405,-1.45178,0.06942069564246676,1.1287864401326415,1e-12,1.000000000000001e-12,-27.631021115928547
nu2,neutrinos,2.5588,0.7338,-1.451643,0.0687582296891046,1.1287864401326415,8.7e-12,8.700000000000014e-12,-25.46769809026801
nu3,neutrinos,2.5703,0.7375,-1.451501,0.07039849682567535,1.1287864401326415,5e-11,5.0000000000000066e-11,-23.7189981105004
H,bosons,2.5591,0.899938,1.683119,0.1477180246575326,3.4520009308762725,125.1,0.07621401609665727,-2.574209894927765
W,bosons,2.4768,0.87625,1.553851,0.12269925649041144,3.4520009308762725,80.4,0.07085135997787352,-2.6471711178585573
Z,bosons,2.5681,0.895906,1.595828,0.1416746830995444,3.4520009308762725,91.2,0.07380860445000595,-2.6062799627084714
