species,sector,ax,ay,z_pred,ds_eff,alpha_used,m_PDG_GeV,m_pred_GeV,logm_pred
u,up,2.6225,0.78,-0.866396,0.08344487982224873,4.361511210581376,0.0022,1.6865031377702775,0.5226572360397923
d,down,2.6245,0.79,-0.658459,0.08349764991367975,4.456469846755816,0.0047,2.3221351261270646,0.8424870754356748
s,down,2.5796,0.8098,0.030744,0.09063637019897883,4.456469846755816,0.095,6.868628606570676,1.9269644657209066
e,leptons,2.5385,0.74,-1.16649,0.07011658927078232,4.425327846103062,0.000511,1.1229023416123847,0.11591670992002068
mu,leptons,2.6065,0.8187,0.056804,0.0866170596149465,4.425327846103062,0.10566,7.153429420670919,1.9675918809704507
c,up,2.4883,0.8163,0.594047,0.10887825131549499,4.361511210581376,1.27,17.683063339701402,2.872607308020924
tau,leptons,2.5755,0.8425,0.671466,0.10976757011333257,4.425327846103062,1.77686,20.278930450132762,3.0095824381868974
b,down,2.4765,0.83,0.866288,0.12149283374949468,4.456469846755816,4.18,29.554404307583074,3.386232778687762
t,up,2.6385,0.9177,1.717435,0.1455406324264993,4.361511210581376,172.76,152.74410603699076,5.02876401162471
nu1,neutrinos,2.5795,0.7405,-1.45178,0.06942069564246676,1.1287864401326415,1e-12,1.000000000000001e-12,-27.631021115928547
nu2,neutrinos,2.5588,0.7338,-1.451643,0.0687582296891046,1.1287864401326415,8.7e-12,8.700000000000014e-12,-25.46769809026801
nu3,neutrinos,2.5703,0.7375,-1.451501,0.07039849682567535,1.1287864401326415,5e-11,5.0000000000000066e-11,-23.7189981105004
H,bosons,2.5591,0.899938,1.683119,0.1477180246575326,3.4520009308762725,125.1,116.24000782645182,4.755657086592134
W,bosons,2.4768,0.87625,1.553851,0.12269925649041144,3.4520009308762725,80.4,81.48514579810707,4.400420743489493
Z,bosons,2.5681,0.895906,1.595828,0.1416746830995444,3.4520009308762725,91.2,96.84431224433347,4.573104660656445
