species,sector,ax,ay,z_pred,ds_eff,alpha_used,beta,gamma,lambda_sector,Delta_sector,m_PDG_GeV,m_pred_GeV,logm_pred,abs_dlog,rel_err
u,up,2.6225,0.78,-0.866396,0.9315255109218115,4.361511210581376,-1.2650326088601886,3.7881776026540632,0.09291236425675851,-1.1689675327757363,0.0022,0.0023741453855332076,-6.0431177439228705,0.07618017469499616,0.07915699342418514
d,down,2.6245,0.79,-0.658459,0.9315255109218115,4.456469846755816,-1.2650326088601886,3.7881776026540632,0.1271647787607873,-1.2413186079146334,0.0047,0.004756172256481936,-5.348312082037001,0.011880688229123137,0.01195154393232678
s,down,2.5796,0.8098,0.030744,0.9985969219685994,4.456469846755816,-1.2650326088601886,3.7881776026540632,0.1271647787607873,-1.2413186079146334,0.095,0.09324833080892941,-2.372489120790761,0.018610733409164748,-0.018438623063900872
e,leptons,2.5385,0.74,-1.16649,0.7825010061524085,4.425327846103062,-1.2650326088601886,3.7881776026540632,0.15447391462870186,-1.2602835109900692,0.000511,0.0005166414417441767,-7.568161460341571,0.010979507418999113,0.011040003413261834
mu,leptons,2.6065,0.8187,0.056804,0.9777840532965921,4.425327846103062,-1.2650326088601886,3.7881776026540632,0.15447391462870186,-1.2602835109900692,0.10566,0.1030888476573265,-2.272164063962058,0.024635176716090612,-0.024334207293900345
c,up,2.4883,0.8163,0.594047,1.2078816269403994,4.361511210581376,-1.2650326088601886,3.7881776026540632,0.09291236425675851,-1.1689675327757363,1.27,1.1130783623714198,0.1071294762583146,0.13188742421218533,-0.12356034458943321
tau,leptons,2.5755,0.8425,0.671466,1.2422035014018538,4.425327846103062,-1.2650326088601886,3.7881776026540632,0.15447391462870186,-1.2602835109900692,1.77686,1.8012906412807579,0.5885034308977426,0.013655669297092277,0.01374933381400778
b,down,2.4765,0.83,0.866288,1.3479292125895541,4.456469846755816,-1.2650326088601886,3.7881776026540632,0.1271647787607873,-1.2413186079146334,4.18,4.208226465005401,1.437041291716707,0.006730045180042055,0.00675274282425864
t,up,2.6385,0.9177,1.717435,1.6317674171856846,4.361511210581376,-1.2650326088601886,3.7881776026540632,0.09291236425675851,-1.1689675327757363,172.76,182.65709506168878,5.2076105976096905,0.05570724951718997,0.05728811681922208
nu1,neutrinos,2.5795,0.7405,-1.45178,0.800256800578774,1.1287864401326415,-1.2650326088601886,3.7881776026540632,0.0,0.0,1e-12,1e-12,-27.631021115928547,0.0,0.0
nu2,neutrinos,2.5588,0.7338,-1.451643,0.7659275819136514,1.1287864401326415,-1.2650326088601886,3.7881776026540632,0.0,0.0,8.7e-12,8.7e-12,-25.46769809026801,0.0,0.0
nu3,neutrinos,2.5703,0.7375,-1.451501,0.800256800578774,1.1287864401326415,-1.2650326088601886,3.7881776026540632,0.0,0.0,5e-11,5e-11,-23.7189981105004,0.0,0.0
H,bosons,2.5591,0.899938,1.683119,1.497257363373195,3.4520009308762725,-1.2650326088601886,3.7881776026540632,-0.03239445128749312,0.0,125.1,125.10000000000002,4.829113417472866,0.0,2.220446049250313e-16
W,bosons,2.4768,0.87625,1.553851,1.3479292125895541,3.4520009308762725,-1.2650326088601886,3.7881776026540632,-0.03239445128749312,0.0,80.4,80.39999999999999,4.387014176184921,0.0,-2.220446049250313e-16
Z,bosons,2.5681,0.895906,1.595828,1.497257363373195,3.4520009308762725,-1.2650326088601886,3.7881776026540632,-0.03239445128749312,0.0,91.2,91.20000000000002,4.513054897080286,0.0,2.220446049250313e-16
