species,sector,ax,ay,z_pred,ds_eff,alpha_used,delta_sector,beta_fit,lambda_ds,gamma,m_PDG_GeV,m_pred_GeV,logm_pred,abs_dlog,rel_err
u,up,2.6225,0.78,-0.866396,0.9315255109218115,4.361511210581376,-3.584681174763272,2.1586442301668423,0.3,0.0,0.0022,0.08357169692484238,-2.4820503697442593,3.6372475488736074,36.98713496583745
d,down,2.6245,0.79,-0.658459,0.9315255109218115,4.456469846755816,-4.513945231075861,2.1586442301668423,0.3,0.0,0.0047,0.041779800941831105,-3.1753422873018526,2.1848504829642716,7.889319349325767
s,down,2.5796,0.8098,0.030744,0.9985969219685994,4.456469846755816,-4.513945231075861,2.1586442301668423,0.3,0.0,0.095,0.09883971722405553,-2.3142557588122434,0.039622628569352614,0.040418076042689766
e,leptons,2.5385,0.74,-1.16649,0.7825010061524085,4.425327846103062,-5.232344658692227,2.1586442301668423,0.3,0.0,0.000511,0.013766665930941419,-4.285505121125773,3.293635846634797,25.94063782963096
mu,leptons,2.6065,0.8187,0.056804,0.9777840532965921,4.425327846103062,-5.232344658692227,2.1586442301668423,0.3,0.0,0.10566,0.04978891547585422,-2.999962900532454,0.7524340132864866,-0.5287817956099354
c,up,2.4883,0.8163,0.594047,1.2078816269403994,4.361511210581376,-3.584681174763272,2.1586442301668423,0.3,0.0,1.27,0.6143617606945925,-0.48717133753837916,0.7261882380088791,-0.5162505821302421
tau,leptons,2.5755,0.8425,0.671466,1.2422035014018538,4.425327846103062,-5.232344658692227,2.1586442301668423,0.3,0.0,1.77686,0.13996623392013657,-1.966354071747661,2.5412018333483113,-0.9212283275440177
b,down,2.4765,0.83,0.866288,1.3479292125895541,4.456469846755816,-4.513945231075861,2.1586442301668423,0.3,0.0,4.18,0.45195987961781836,-0.7941618649969586,2.224473111533624,-0.8918756268856893
t,up,2.6385,0.9177,1.717435,1.6317674171856846,4.361511210581376,-3.584681174763272,2.1586442301668423,0.3,0.0,172.76,9.401262955582881,2.2408440372277703,2.9110593108647302,-0.9455819463094299
nu1,neutrinos,2.5795,0.7405,-1.45178,0.800256800578774,1.1287864401326415,0.0,2.1586442301668423,0.3,0.0,1e-12,1e-12,-27.631021115928547,0.0,0.0
nu2,neutrinos,2.5588,0.7338,-1.451643,0.7659275819136514,1.1287864401326415,0.0,2.1586442301668423,0.3,0.0,8.7e-12,8.7e-12,-25.46769809026801,0.0,0.0
nu3,neutrinos,2.5703,0.7375,-1.451501,0.800256800578774,1.1287864401326415,0.0,2.1586442301668423,0.3,0.0,5e-11,5e-11,-23.7189981105004,0.0,0.0
H,bosons,2.5591,0.899938,1.683119,1.497257363373195,3.4520009308762725,0.0,2.1586442301668423,0.3,0.0,125.1,117.73324956662233,4.768421468566162,0.06069194890670371,-0.05888689395185975
W,bosons,2.4768,0.87625,1.553851,1.3479292125895541,3.4520009308762725,0.0,2.1586442301668423,0.3,0.0,80.4,75.76901978202999,4.327689499104025,0.059324677080895505,-0.05759925644241315
Z,bosons,2.5681,0.895906,1.595828,1.497257363373195,3.4520009308762725,0.0,2.1586442301668423,0.3,0.0,91.2,102.82942249053009,4.633071523067885,0.12001662598759921,0.12751559748388264
