species,sector,ax,ay,z_pred,ds_eff,alpha_used,delta_sector,beta_fit,lambda_ds,gamma,m_PDG_GeV,m_pred_GeV,logm_pred,abs_dlog,rel_err
u,up,2.6225,0.78,-0.866396,0.08371007029289897,4.361511210581376,-3.7045950709928843,2.3934927617760797,3.0141234854183745,0.0,0.0022,0.10387783859289822,-2.264539699172457,3.8547582194454098,46.21719936040828
d,down,2.6245,0.79,-0.658459,0.08371007029289897,4.456469846755816,-4.723469230698304,2.3934927617760797,3.0141234854183745,0.0,0.0047,0.04640431111693171,-3.0703629120631417,2.2898298582029826,8.873257684453556
s,down,2.5796,0.8098,0.030744,0.08973733682241626,4.456469846755816,-4.723469230698304,2.3934927617760797,3.0141234854183745,0.0,0.095,0.10097138056189703,-2.292918163068424,0.06096022431317216,0.062856637493653
e,leptons,2.5385,0.74,-1.16649,0.07031821830028266,4.425327846103062,-5.468187880517211,2.3934927617760797,3.0141234854183745,0.0,0.000511,0.015470953727976428,-4.168790966137376,3.4103500016231942,29.275838997996928
mu,leptons,2.6065,0.8187,0.056804,0.08786702121741848,4.425327846103062,-5.468187880517211,2.3934927617760797,3.0141234854183745,0.0,0.10566,0.04938442946541056,-3.0081200974799,0.7605912102339327,-0.5326099804522946
c,up,2.4883,0.8163,0.594047,0.10854437662863847,4.361511210581376,-3.7045950709928843,2.3934927617760797,3.0141234854183745,0.0,1.27,0.6291198090041716,-0.4634335650554827,0.7024504655259827,-0.5046300716502585
tau,leptons,2.5755,0.8425,0.671466,0.11162865772461113,4.425327846103062,-5.468187880517211,2.3934927617760797,3.0141234854183745,0.0,1.77686,0.12556759877204077,-2.0749110297886104,2.6497587913892606,-0.9293317432031557
b,down,2.4765,0.83,0.866288,0.12112953194815346,4.456469846755816,-4.723469230698304,2.3934927617760797,3.0141234854183745,0.0,4.18,0.39832826150883976,-0.9204788359794875,2.3507900825161525,-0.9047061575337704
t,up,2.6385,0.9177,1.717435,0.14663620436879385,4.361511210581376,-3.7045950709928843,2.3934927617760797,3.0141234854183745,0.0,172.76,7.38606852572549,1.999595594173075,3.1523077539194255,-0.957246651275032
nu1,neutrinos,2.5795,0.7405,-1.45178,0.07191381475159883,1.1287864401326415,0.0,2.3934927617760797,3.0141234854183745,0.0,1e-12,1e-12,-27.631021115928547,0.0,0.0
nu2,neutrinos,2.5588,0.7338,-1.451643,0.06882887368035111,1.1287864401326415,0.0,2.3934927617760797,3.0141234854183745,0.0,8.7e-12,8.7e-12,-25.46769809026801,0.0,0.0
nu3,neutrinos,2.5703,0.7375,-1.451501,0.07191381475159883,1.1287864401326415,0.0,2.3934927617760797,3.0141234854183745,0.0,5e-11,5e-11,-23.7189981105004,0.0,0.0
H,bosons,2.5591,0.899938,1.683119,0.1345486706107514,3.4520009308762725,0.0,2.3934927617760797,3.0141234854183745,0.0,125.1,115.55757206111235,4.749768865175797,0.07934455229706838,-0.07627840079046877
W,bosons,2.4768,0.87625,1.553851,0.12112953194815346,3.4520009308762725,0.0,2.3934927617760797,3.0141234854183745,0.0,80.4,77.6217341318927,4.351847466993602,0.03516670919131837,-0.03455554562322527
Z,bosons,2.5681,0.895906,1.595828,0.1345486706107514,3.4520009308762725,0.0,2.3934927617760797,3.0141234854183745,0.0,91.2,102.26486451313359,4.62756615856868,0.11451126148839386,0.12132526878435956
