species,m_PDG_GeV,logm,q_target,z_pred,ax,ay,z_predi,abs_err,ok,note,expansions,sector,ds_eff,alpha_used,m_pred_GeV,abs_dlog
u,0.0022,-6.119297919,,-0.866506262,2.6225,0.78,-0.866396,0.0001104,True,local_min_interior,0,up,1.9691946356673924,4.361511210581376,0.018396770758369478,2.123717786585817
d,0.0047,-5.36019277,,-0.658370413,2.6245,0.79,-0.658459,8.839e-05,True,local_min_interior,0,down,1.9691946356673924,4.456469846755816,0.042838791226127645,2.2098815204553635
s,0.095,-2.353878387,,0.030759225,2.5796,0.8098,0.030744,1.509e-05,True,local_min_interior,0,down,1.9691946356673924,4.456469846755816,0.923831302040745,2.274652589823587
e,0.000511,-7.579140968,,-1.166489736,2.5385,0.74,-1.16649,7.583e-08,True,local_min_interior,0,leptons,1.1906111365370782,4.425327846103062,0.005067169773640372,2.294168120461911
mu,0.10566,-2.247528887,,0.056801148,2.6065,0.8187,0.056804,2.841e-06,True,local_min_interior,0,leptons,2.029620442081277,4.425327846103062,1.028199535506643,2.2753381361312353
c,1.27,0.2390169004704999,,0.594222689,2.4883,0.8163,0.594047,0.0001762,True,local_min_interior,0,up,2.4798590346043636,4.361511210581376,10.11607593801233,2.075108935032287
tau,1.77686,0.5748477616006503,,0.671493517,2.5755,0.8425,0.671466,2.765e-05,True,local_min_interior,0,leptons,2.6243190481742507,4.425327846103062,14.536470136481912,2.1018129118762197
b,4.18,1.430311246536665,,0.866271628,2.4765,0.83,0.866288,1.648e-05,True,local_min_interior,0,down,2.726063973720304,4.456469846755816,34.9313851283006,2.1230744658989695
t,172.76,5.1519033480925005,,1.717471459,2.6385,0.9177,1.717435,3.662e-05,True,local_min_interior,0,up,3.7431208585984113,4.361511210581376,1166.305709697717,1.9096931711577414
nu1,1e-12,-27.631021,,-1.4518,2.5795,0.7405,-1.45178,1.978e-05,True,refined_lock,0,neutrinos,3.9014724740875986,13028.151998129126,0.0,inf
nu2,8.7e-12,-25.470946,,-1.45165,2.5588,0.7338,-1.451643,6.757e-06,True,refined_lock,0,neutrinos,3.9014724740875986,13028.151998129126,0.0,inf
nu3,5e-11,-23.715411,,-1.4515,2.5703,0.7375,-1.451501,5.938e-07,True,refined_lock,0,neutrinos,3.9014724740875986,13028.151998129126,0.0,inf
H,125.1,4.829113417472866,0.921940894,1.683074,2.5591,0.899938,1.683119,4.497e-05,True,local_min_interior,0,bosons,3.9014724740875986,3.4520009308762725,213.10741147806883,0.5326829003702731
W,80.4,4.387014176184921,0.8924676117456614,1.553868,2.4768,0.87625,1.553851,1.676e-05,True,local_min_interior,0,bosons,3.7109364405378007,3.4520009308762725,139.58048797327413,0.5516272334093948
Z,91.2,4.513054897080286,0.900870326,1.595805,2.5681,0.895906,1.595828,2.308e-05,True,local_min_interior,0,bosons,3.7109364405378007,3.4520009308762725,161.32290420997865,0.5703530755521877
