species,sector,sector,ax,ay,z_pred,ds_eff,alpha_used,m_pred_GeV,logm_pred,m_PDG_GeV,abs_dlog,rel_err
u,up,up,2.6225,0.78,-0.866396,0.08371007029289897,4.361511210581376,0.7288238069351225,-0.3163232676325836,0.0022,5.802974650985283,330.28354860687386
d,down,down,2.6245,0.79,-0.658459,0.08371007029289897,4.456469846755816,0.7822045071656302,-0.24563905451211077,0.0047,5.114553715754013,165.42649088630426
s,down,down,2.5796,0.8098,0.030744,0.08973733682241626,4.456469846755816,1.012370779229775,0.012294886401661941,0.095,2.366173273783258,9.656534518208158
e,leptons,leptons,2.5385,0.74,-1.16649,0.07031821830028266,4.425327846103062,0.6955935824615195,-0.3629897224480765,0.000511,7.216151245312494,1360.2398874002338
mu,leptons,leptons,2.6065,0.8187,0.056804,0.08786702121741848,4.425327846103062,1.0223334276333236,0.022087688703964995,0.10566,2.2696165759499323,8.675690210423278
c,up,up,2.4883,0.8163,0.594047,0.10854437662863847,4.361511210581376,1.3247612504159423,0.28123225483698505,1.27,0.04221535436648513,0.04311909481570257
tau,leptons,leptons,2.5755,0.8425,0.671466,0.11162865772461113,4.425327846103062,1.3933344751140304,0.33169977732804995,1.77686,0.24314798427260037,0.2158445374908376
b,down,down,2.4765,0.83,0.866288,0.12112953194815346,4.456469846755816,1.5962083213867782,0.46763101769438337,4.18,0.9626802288422815,0.6181319805294788
t,up,up,2.6385,0.9177,1.717435,0.14663620436879385,4.361511210581376,2.9993479437220376,1.0983949129510662,172.76,4.053508435141435,0.9826386435302036
nu1,neutrinos,neutrinos,2.5795,0.7405,-1.45178,0.07191381475159883,1.1287864401326415,0.8888304926523393,-0.11784873358056314,1e-12,27.513172382347985,888830492651.3394
nu2,neutrinos,neutrinos,2.5588,0.7338,-1.451643,0.06882887368035111,1.1287864401326415,0.893344813096169,-0.11278264374712492,8.7e-12,25.354915446520884,102683311849.13437
nu3,neutrinos,neutrinos,2.5703,0.7375,-1.451501,0.07191381475159883,1.1287864401326415,0.8888506230418004,-0.11782608566099613,5e-11,23.601172024839403,17777012459.836006
H,bosons,bosons,2.5591,0.899938,1.683119,0.1345486706107514,3.4520009308762725,2.1852823588412233,0.7817450462128812,125.1,4.047368371259984,0.9825317157566649
W,bosons,bosons,2.4768,0.87625,1.553851,0.12112953194815346,3.4520009308762725,1.9150162393852663,0.6497261026933984,80.4,3.737288073491522,0.9761813900573972
Z,bosons,bosons,2.5681,0.895906,1.595828,0.1345486706107514,3.4520009308762725,2.0984556761413242,0.7412016818821544,91.2,3.7718532151981314,0.9769906175861697
