species,sector,ax,ay,z_pred,ds_eff,alpha_used,delta_sector,beta_fit,lambda_ds,gamma,m_PDG_GeV,m_pred_GeV,logm_pred,abs_dlog,rel_err
u,up,2.6225,0.78,-0.866396,0.08371007029289897,4.361511210581376,-1.3593719744511796,4.198033613833847,0.3,0.1,0.0022,14.255247137203582,2.657125059092893,8.776422977710759,6478.657789637991
d,down,2.6245,0.79,-0.658459,0.08371007029289897,4.456469846755816,-1.4646260175659336,4.198033613833847,0.3,0.1,0.0047,13.381457498743718,2.593869979914281,7.954062750180405,2846.118616753982
s,down,2.5796,0.8098,0.030744,0.08973733682241626,4.456469846755816,-1.4646260175659336,4.198033613833847,0.3,0.1,0.095,15.489625266729586,2.7401704621884124,5.094048849570008,162.04868701820618
e,leptons,2.5385,0.74,-1.16649,0.07031821830028266,4.425327846103062,-1.4530667769325838,4.198033613833847,0.3,0.1,0.000511,12.42140159735513,2.5194209201668407,10.09856188792741,24307.02660930554
mu,leptons,2.6065,0.8187,0.056804,0.08786702121741848,4.425327846103062,-1.4530667769325838,4.198033613833847,0.3,0.1,0.10566,15.756824035197852,2.7572735435124534,5.004802430758421,148.12761721746972
c,up,2.4883,0.8163,0.594047,0.10854437662863847,4.361511210581376,-1.3593719744511796,4.198033613833847,0.3,0.1,1.27,19.735834940760217,2.9824360158337635,2.7434191153632637,14.540027512409619
tau,leptons,2.5755,0.8425,0.671466,0.11162865772461113,4.425327846103062,-1.4530667769325838,4.198033613833847,0.3,0.1,1.77686,18.386622646146904,2.9116233700996785,2.3367756084990283,9.347817299138313
b,down,2.4765,0.83,0.866288,0.12112953194815346,4.456469846755816,-1.4646260175659336,4.198033613833847,0.3,0.1,4.18,19.304258159011745,2.960325701576229,1.5300144550395642,3.6182435787109437
t,up,2.6385,0.9177,1.717435,0.14663620436879385,4.361511210581376,-1.3593719744511796,4.198033613833847,0.3,0.1,172.76,28.21697122086559,3.3399236132679873,1.8119797348245132,-0.8366695344937162
nu1,neutrinos,2.5795,0.7405,-1.45178,0.07191381475159883,1.1287864401326415,18887.729593591415,4.198033613833847,0.3,0.1,1e-12,1e-12,-27.631021115928547,0.0,0.0
nu2,neutrinos,2.5588,0.7338,-1.451643,0.06882887368035111,1.1287864401326415,18887.729593591415,4.198033613833847,0.3,0.1,8.7e-12,8.7e-12,-25.46769809026801,0.0,0.0
nu3,neutrinos,2.5703,0.7375,-1.451501,0.07191381475159883,1.1287864401326415,18887.729593591415,4.198033613833847,0.3,0.1,5e-11,5e-11,-23.7189981105004,0.0,0.0
H,bosons,2.5591,0.899938,1.683119,0.1345486706107514,3.4520009308762725,0.0,4.198033613833847,0.3,0.1,125.1,99.57080784433103,4.600869027697712,0.2282443897751536,-0.20407028102053526
W,bosons,2.4768,0.87625,1.553851,0.12112953194815346,3.4520009308762725,0.0,4.198033613833847,0.3,0.1,80.4,94.47512238359079,4.548336544641867,0.16132236845694603,0.17506371123869124
Z,bosons,2.5681,0.895906,1.595828,0.1345486706107514,3.4520009308762725,0.0,4.198033613833847,0.3,0.1,91.2,97.51214344464147,4.5799769183984935,0.06692202131820757,0.06921209917370019
