source,L,diag,jitter,seed,t,filling,lap_frac,rank,N,gxx,gyy,Tr_g,Tr_g_density,ds,a1
LAP,12,fwd,0.0,0,,,0.5,72,144,1.4871971629783438,1.478736972595049,2.965934135573393,0.020596764830370783,3.2,10.0
TB,12,fwd,0.0,0,-1.0,0.5,,72,144,1.4305411007960211,1.4409070722057156,2.8714481730017365,0.019940612312512058,3.2,10.0
LAP,12,back,0.0,0,,,0.5,72,144,1.4752278405110344,1.4969106438667956,2.97213848437783,0.020639850585957152,3.2,10.0
TB,12,back,0.0,0,-1.0,0.5,,72,144,1.4839696426854487,1.4731572986709307,2.957126941356379,0.0205356037594193,3.2,10.0
LAP,16,fwd,0.0,0,,,0.5,128,256,2.0355420587494146,2.059689014790661,4.095231073540075,0.01599699638101592,3.2,10.0
TB,16,fwd,0.0,0,-1.0,0.5,,128,256,2.0035041364506396,2.039501041352536,4.043005177803176,0.015792988975793655,3.2,10.0
LAP,16,back,0.0,0,,,0.5,128,256,2.0550307531555774,2.052429676690898,4.107460429846475,0.016044767304087795,3.2,10.0
TB,16,back,0.0,0,-1.0,0.5,,128,256,2.052213319992157,2.0416563021304404,4.093869622122597,0.015991678211416394,3.2,10.0
LAP,20,fwd,0.0,0,,,0.5,200,400,2.8008229714030017,2.8178371286928803,5.618660100095882,0.014046650250239705,3.2,10.0
TB,20,fwd,0.0,0,-1.0,0.5,,200,400,2.810747602828357,2.7902297133515566,5.600977316179914,0.014002443290449784,3.2,10.0
LAP,20,back,0.0,0,,,0.5,200,400,2.7788423882687163,2.7923842168595367,5.571226605128253,0.01392806651282063,3.2,10.0
TB,20,back,0.0,0,-1.0,0.5,,200,400,2.812766681230344,2.772558239740512,5.585324920970856,0.01396331230242714,3.2,10.0
