species,d_ax,d_ay,ax,ay,z_pred,dz
H,-0.008,-0.008,2.5591,0.8934375,1.584744853809724,-0.09832960723609041
H,-0.008,-0.004,2.5591,0.8974375,1.6455175041681365,-0.037556956877677905
H,-0.008,0.0,2.5591,0.9014375,1.705539915855777,0.022465454809962537
H,-0.008,0.004,2.5591,0.9054375,1.7648120888726595,0.08173762782684513
H,-0.008,0.008,2.5591,0.9094375,1.8233340232187665,0.1402595621729521
H,-0.004,-0.008,2.5631,0.8934375,1.57275277674011,-0.11032168430570444
H,-0.004,-0.004,2.5631,0.8974375,1.633970614714709,-0.049103846331105316
H,-0.004,0.0,2.5631,0.9014375,1.6944382140185503,0.011363752972735952
H,-0.004,0.004,2.5631,0.9054375,1.7541555746516266,0.07108111360581226
H,-0.004,0.008,2.5631,0.9094375,1.8131226966139344,0.13004823556812006
H,0.0,-0.008,2.5671,0.8934375,1.5605469759470267,-0.12252748509878764
H,0.0,-0.004,2.5671,0.8974375,1.6222100015378125,-0.0608644595080019
H,0.0,0.0,2.5671,0.9014375,1.6831227884578404,4.832741202598356e-05
H,0.0,0.004,2.5671,0.9054375,1.7432853367071104,0.060210875661296015
H,0.0,0.008,2.5671,0.9094375,1.8026976462855977,0.11962318523978333
H,0.004,-0.008,2.5711,0.8934375,1.5481274514304388,-0.13494700961537553
H,0.004,-0.004,2.5711,0.8974375,1.6102356646374325,-0.07283879640838187
H,0.004,0.0,2.5711,0.9014375,1.671593639173647,-0.011480821872167368
H,0.004,0.004,2.5711,0.9054375,1.7322013750391108,0.049126913993296384
H,0.004,0.008,2.5711,0.9094375,1.7920588722337847,0.10898441118797031
H,0.008,-0.008,2.5751,0.8934375,1.5354942031903676,-0.14758025785544682
H,0.008,-0.004,2.5751,0.8974375,1.598047604013555,-0.08502685703225943
H,0.008,0.0,2.5751,0.9014375,1.6598507661659632,-0.02322369487985121
H,0.008,0.004,2.5751,0.9054375,1.7209036896476206,0.037829228601806264
H,0.008,0.008,2.5751,0.9094375,1.7812063744584954,0.09813191341268102
