species,d_ax,d_ay,ax,ay,z_pred,dz
Z,-0.008,-0.008,2.5588,0.88765625,1.4965226682422283,-0.09928247459838868
Z,-0.008,-0.004,2.5588,0.89165625,1.5583462588582648,-0.0374588839823522
Z,-0.008,0.0,2.5588,0.89565625,1.6194196108035293,0.023614467962912222
Z,-0.008,0.004,2.5588,0.89965625,1.6797427240780394,0.08393758123742234
Z,-0.008,0.008,2.5588,0.90365625,1.7393155986817739,0.14351045584115685
Z,-0.004,-0.008,2.5628,0.88765625,1.4839031852253655,-0.11190195761525157
Z,-0.004,-0.004,2.5628,0.89165625,1.5461719634575886,-0.04963317938302847
Z,-0.004,0.0,2.5628,0.89565625,1.6076905030190467,0.011885360178429671
Z,-0.004,0.004,2.5628,0.89965625,1.6684588039097363,0.0726536610691193
Z,-0.004,0.008,2.5628,0.90365625,1.7284768661296646,0.13267172328904753
Z,0.0,-0.008,2.5668,0.88765625,1.4710699784849979,-0.12473516435561915
Z,0.0,-0.004,2.5668,0.89165625,1.5337839443334147,-0.062021198507202335
Z,0.0,0.0,2.5668,0.89565625,1.5957476715110595,-5.7471329557579054e-05
Z,0.0,0.004,2.5668,0.89965625,1.656961160017957,0.06115601717733998
Z,0.0,0.008,2.5668,0.90365625,1.717424409854079,0.12161926701346193
Z,0.004,-0.008,2.5708,0.88765625,1.458023048021154,-0.13778209481946302
Z,0.004,-0.004,2.5708,0.89165625,1.5211822014857574,-0.07462294135485958
Z,0.004,0.0,2.5708,0.89565625,1.583591116279603,-0.012214026561014002
Z,0.004,0.004,2.5708,0.89965625,1.6452497924026872,0.049444649562070175
Z,0.004,0.008,2.5708,0.90365625,1.7061582298550029,0.11035308701438584
Z,0.008,-0.008,2.5748,0.88765625,1.4447623938338054,-0.15104274900681158
Z,0.008,-0.004,2.5748,0.89165625,1.5083667349146097,-0.08743840792600732
Z,0.008,0.0,2.5748,0.89565625,1.571220837324649,-0.02458430551596802
Z,0.008,0.004,2.5748,0.89965625,1.633324701063927,0.03751955822330988
Z,0.008,0.008,2.5748,0.90365625,1.694678326132422,0.09887318329180506
