species,d_ax,d_ay,ax,ay,z_pred,dz
b,-0.008,-0.008,2.4685,0.822,0.7674994472699961,-0.09877218047727276
b,-0.008,-0.004,2.4685,0.826,0.8315873918823211,-0.03468423586494773
b,-0.008,0.0,2.4685,0.83,0.8949250978239078,0.028653470076638987
b,-0.008,0.004,2.4685,0.834,0.9575125650947065,0.09124093734743766
b,-0.008,0.008,2.4685,0.838,1.0193497936947544,0.15307816594748558
b,-0.004,-0.008,2.4725,0.822,0.752397439954434,-0.11387418779283487
b,-0.004,-0.004,2.4725,0.826,0.8169305721829669,-0.049341055564301906
b,-0.004,0.0,2.4725,0.83,0.8807134657407332,0.014441837993464324
b,-0.004,0.004,2.4725,0.834,0.9437461206277327,0.07747449288046382
b,-0.004,0.008,2.4725,0.838,1.0060285368439672,0.13975690909669836
b,0.0,-0.008,2.4765,0.822,0.7370817089153956,-0.12918991883187325
b,0.0,-0.004,2.4765,0.826,0.8020600287601152,-0.06421159898715367
b,0.0,0.0,2.4765,0.83,0.8662881099340751,1.6482186806277e-05
b,0.0,0.004,2.4765,0.834,0.9297659524372683,0.06349432468999949
b,0.0,0.008,2.4765,0.838,0.9924935562696966,0.12622192852242775
b,0.004,-0.008,2.4805,0.822,0.7215522541528667,-0.14471937359440212
b,0.004,-0.004,2.4805,0.826,0.7869757616137729,-0.07929586613349593
b,0.004,0.0,2.4805,0.83,0.8516490304039337,-0.014622597343335153
b,0.004,0.004,2.4805,0.834,0.9155720605233135,0.04930043277604468
b,0.004,0.008,2.4805,0.838,0.9787448519719355,0.11247322422466666
b,0.008,-0.008,2.4845,0.822,0.7058090756668474,-0.16046255208042148
b,0.008,-0.004,2.4845,0.826,0.7716777707439544,-0.09459385700331446
b,0.008,0.0,2.4845,0.83,0.8367962271502947,-0.029475400596974177
b,0.008,0.004,2.4845,0.834,0.9011644448858682,0.034892817138599375
b,0.008,0.008,2.4845,0.838,0.964782423950691,0.09851079620342218
