species,d_ax,d_ay,ax,ay,z_pred,dz
c,-0.008,-0.008,2.4803,0.80825,0.49179497737958044,-0.10242771147619156
c,-0.008,-0.004,2.4803,0.81225,0.5597751708904521,-0.03444751796531986
c,-0.008,0.0,2.4803,0.81625,0.627005125730534,0.03278243687476201
c,-0.008,0.004,2.4803,0.82025,0.6934848418998669,0.09926215304409491
c,-0.008,0.008,2.4803,0.82425,0.7592143193984295,0.16499163054265753
c,-0.004,-0.008,2.4843,0.80825,0.4745321526490933,-0.11969053620667869
c,-0.004,-0.004,2.4843,0.81225,0.5429575337761445,-0.05126515507962748
c,-0.004,0.0,2.4843,0.81625,0.6106326762324201,0.016409987376648116
c,-0.004,0.004,2.4843,0.82025,0.6775575800179467,0.08333489116217474
c,-0.004,0.008,2.4843,0.82425,0.7437322451327031,0.14950955627693108
c,0.0,-0.008,2.4883,0.80825,0.4570556041950944,-0.13716708466067762
c,0.0,-0.004,2.4883,0.81225,0.5259261729383393,-0.06829651591743269
c,0.0,0.0,2.4883,0.81625,0.5940465030108157,-0.000176185844956267
c,0.0,0.004,2.4883,0.82025,0.661416594412529,0.06719390555675697
c,0.0,0.008,2.4883,0.82425,0.7280364471434861,0.13381375828771414
c,0.004,-0.008,2.4923,0.80825,0.4393653320176192,-0.15485735683815283
c,0.004,-0.004,2.4923,0.81225,0.5086810883770507,-0.08554160047872128
c,0.004,0.0,2.4923,0.81625,0.5772466060657209,-0.01697608279005114
c,0.004,0.004,2.4923,0.82025,0.6450618850836278,0.05083919622785582
c,0.004,0.008,2.4923,0.82425,0.7121269254307645,0.1179042365749925
c,0.008,-0.008,2.4963,0.80825,0.4214613361166464,-0.17276135273912563
c,0.008,-0.004,2.4963,0.81225,0.49122228009227875,-0.10300040876349326
c,0.008,0.0,2.4963,0.81625,0.5602329853971426,-0.033989703458629394
c,0.008,0.004,2.4963,0.82025,0.6284934520312362,0.03427076317546418
c,0.008,0.008,2.4963,0.82425,0.6960036799945666,0.10178099113879457
