species,d_ax,d_ay,ax,ay,z_pred,dz
d,-0.008,-0.008,2.6165,0.782,-0.7804768142546497,-0.12210640142587936
d,-0.008,-0.004,2.6165,0.786,-0.6924145411355376,-0.034044128306767285
d,-0.008,0.0,2.6165,0.79,-0.6051025066872118,0.05326790614155852
d,-0.008,0.004,2.6165,0.794,-0.5185407109096438,0.13982970191912647
d,-0.008,0.008,2.6165,0.798,-0.43272915380283017,0.22564125902594012
d,-0.004,-0.008,2.6205,0.782,-0.8079384755011549,-0.14956806267238465
d,-0.004,-0.004,2.6205,0.786,-0.7194310147658634,-0.06106060193709306
d,-0.004,0.0,2.6205,0.79,-0.6316737927013367,0.026696620127433568
d,-0.004,0.004,2.6205,0.794,-0.544666809307575,0.11370360352119524
d,-0.004,0.008,2.6205,0.798,-0.4584100645845677,0.1999603482442026
d,0.0,-0.008,2.6245,0.782,-0.8356138604711436,-0.17724344764237332
d,0.0,-0.004,2.6245,0.786,-0.7466612121196654,-0.08829079929089512
d,0.0,0.0,2.6245,0.79,-0.6584588024389451,-8.83896101747661e-05
d,0.0,0.004,2.6245,0.794,-0.5710066314289897,0.08736378139978063
d,0.0,0.008,2.6245,0.798,-0.4843046990897957,0.17406571373897461
d,0.004,-0.008,2.6285,0.782,-0.8635029691646299,-0.20513255633585958
d,0.004,-0.004,2.6285,0.786,-0.7741051331969508,-0.11573472036818055
d,0.004,0.0,2.6285,0.79,-0.6854575359000439,-0.02708712307127359
d,0.004,0.004,2.6285,0.794,-0.5975601772738948,0.060810235554875525
d,0.004,0.008,2.6285,0.798,-0.5104130573185071,0.14795735551026323
d,0.008,-0.008,2.6325,0.782,-0.8916058015816066,-0.23323538875283634
d,0.008,-0.004,2.6325,0.786,-0.8017627779977339,-0.1433923651689636
d,0.008,0.0,2.6325,0.79,-0.7126699930846332,-0.0542995802558629
d,0.008,0.004,2.6325,0.794,-0.6243274468422904,0.034042965986479934
d,0.008,0.008,2.6325,0.798,-0.536735139270716,0.12163527355805426
