species,d_ax,d_ay,ax,ay,z_pred,dz
e,-0.008,-0.008,2.5305,0.732,-1.2861811530560239,-0.11969141662707661
e,-0.008,-0.004,2.5305,0.736,-1.198312430300497,-0.03182269387154979
e,-0.008,0.0,2.5305,0.74,-1.1111939462157459,0.05529579021320141
e,-0.008,0.004,2.5305,0.744,-1.024825700801749,0.14166403562719831
e,-0.008,0.008,2.5305,0.748,-0.9392076940585294,0.22728204237041782
e,-0.004,-0.008,2.5345,0.732,-1.314612599449962,-0.14812286302101474
e,-0.004,-0.004,2.5345,0.736,-1.2262986890782486,-0.059808952649301306
e,-0.004,0.0,2.5345,0.74,-1.1387350173772965,0.027754719051650723
e,-0.004,0.004,2.5345,0.744,-1.0519215843471201,0.11456815208182713
e,-0.004,0.008,2.5345,0.748,-0.9658583899876927,0.20063134644125458
e,0.0,-0.008,2.5385,0.732,-1.3432577695673835,-0.17676803313843625
e,0.0,-0.004,2.5385,0.736,-1.2544986715794835,-0.0880089351505362
e,0.0,0.0,2.5385,0.74,-1.1664898122623448,-7.583339756145335e-08
e,0.0,0.004,2.5385,0.744,-1.0792311916159676,0.08725854481297968
e,0.0,0.008,2.5385,0.748,-0.9927228096403535,0.17376692678859373
e,0.004,-0.008,2.5425,0.732,-1.3721166634083026,-0.20562692697935536
e,0.004,-0.004,2.5425,0.736,-1.2829123778042018,-0.11642264137525449
e,0.004,0.0,2.5425,0.74,-1.1944583308708694,-0.027968594441922123
e,0.004,0.004,2.5425,0.744,-1.1067545226082984,0.059735213820648836
e,0.004,0.008,2.5425,0.748,-1.0198009530164978,0.1466887834124495
e,0.008,-0.008,2.5465,0.732,-1.4011892809726838,-0.23469954454373654
e,0.008,-0.004,2.5465,0.736,-1.3115398077523892,-0.14505007132344194
e,0.008,0.0,2.5465,0.74,-1.2226405732028702,-0.05615083677392296
e,0.008,0.004,2.5465,0.744,-1.1344915773241055,0.03199815910484172
e,0.008,0.008,2.5465,0.748,-1.0470928201161112,0.11939691631283611
