species,d_ax,d_ay,ax,ay,z_pred,dz
t,-0.008,-0.008,2.6305,0.909701075461875,1.6132742557702429,-0.10419720360331097
t,-0.008,-0.004,2.6305,0.913701075461875,1.6789431142685878,-0.038528345104966055
t,-0.008,0.0,2.6305,0.917701075461875,1.7438617340961713,0.026390274722617457
t,-0.008,0.004,2.6305,0.921701075461875,1.8080301152529827,0.0905586558794289
t,-0.008,0.008,2.6305,0.925701075461875,1.8714482577390292,0.1539767983654754
t,-0.004,-0.008,2.6345,0.909701075461875,1.5992772958340566,-0.11819416353949719
t,-0.004,-0.004,2.6345,0.913701075461875,1.6653913419486024,-0.052080117424951444
t,-0.004,0.0,2.6345,0.917701075461875,1.7307551493923583,0.013283690018804473
t,-0.004,0.004,2.6345,0.921701075461875,1.7953687181653635,0.07789725879180964
t,-0.004,0.008,2.6345,0.925701075461875,1.8592320482676108,0.14176058889405696
t,0.0,-0.008,2.6385,0.909701075461875,1.5850666121743586,-0.1324048471991952
t,0.0,-0.004,2.6385,0.913701075461875,1.651625845905098,-0.06584561346845574
t,0.0,0.0,2.6385,0.917701075461875,1.717434840965062,-3.661840849189524e-05
t,0.0,0.004,2.6385,0.921701075461875,1.7824935973542466,0.06502213798069278
t,0.0,0.008,2.6385,0.925701075461875,1.8468021150726877,0.12933065569913382
t,0.004,-0.008,2.6425,0.909701075461875,1.5706422047911985,-0.1468292545823553
t,0.004,-0.004,2.6425,0.913701075461875,1.6376466261381104,-0.07982483323544343
t,0.004,0.0,2.6425,0.917701075461875,1.703900808814275,-0.013570650559278752
t,0.004,0.004,2.6425,0.921701075461875,1.7694047528196606,0.051933293446106754
t,0.004,0.008,2.6425,0.925701075461875,1.8341584581542882,0.11668699878073441
t,0.008,-0.008,2.6465,0.909701075461875,1.5560040736845338,-0.16146738568902008
t,0.008,-0.004,2.6465,0.913701075461875,1.6234536826476464,-0.09401777672590739
t,0.008,0.0,2.6465,0.917701075461875,1.6901530529399906,-0.027318406433563203
t,0.008,0.004,2.6465,0.921701075461875,1.756102184561577,0.03863072518802313
t,0.008,0.008,2.6465,0.925701075461875,1.8213010775123912,0.1038296181388374
