species,d_ax,d_ay,ax,ay,z_pred,dz
tau,-0.008,-0.008,2.5675000000000003,0.8344999999999999,0.5631263078707534,-0.10836720902195918
tau,-0.008,-0.004,2.5675000000000003,0.8384999999999999,0.6358881501377134,-0.035605366754999146
tau,-0.008,0.0,2.5675000000000003,0.8424999999999999,0.7078997537339049,0.036406236841192374
tau,-0.008,0.004,2.5675000000000003,0.8464999999999999,0.7791611186593386,0.10766760176662604
tau,-0.008,0.008,2.5675000000000003,0.8504999999999999,0.8496722449140037,0.1781787280212912
tau,-0.004,-0.008,2.5715000000000003,0.8344999999999999,0.5441258496994834,-0.12736766719322912
tau,-0.004,-0.004,2.5715000000000003,0.8384999999999999,0.6173328795826372,-0.054160637310075366
tau,-0.004,0.0,2.5715000000000003,0.8424999999999999,0.6897896707950224,0.018296153902309875
tau,-0.004,0.004,2.5715000000000003,0.8464999999999999,0.7614962233366427,0.09000270644393016
tau,-0.004,0.008,2.5715000000000003,0.8504999999999999,0.8324525372075016,0.16095902031478904
tau,0.0,-0.008,2.5755000000000003,0.8344999999999999,0.5249116678047301,-0.14658184908798244
tau,0.0,-0.004,2.5755000000000003,0.8384999999999999,0.5985638853040705,-0.07292963158864207
tau,0.0,0.0,2.5755000000000003,0.8424999999999999,0.6714658641326565,-2.7652760056007253e-05
tau,0.0,0.004,2.5755000000000003,0.8464999999999999,0.7436176042904634,0.07212408739775089
tau,0.0,0.008,2.5755000000000003,0.8504999999999999,0.815019105777516,0.1435255888848035
tau,0.004,-0.008,2.5795000000000003,0.8344999999999999,0.5054837621864863,-0.16600975470622625
tau,0.004,-0.004,2.5795000000000003,0.8384999999999999,0.5795811673020275,-0.09191234959068506
tau,0.004,0.0,2.5795000000000003,0.8424999999999999,0.652928333746793,-0.018565183145919484
tau,0.004,0.004,2.5795000000000003,0.8464999999999999,0.7255252615208008,0.05403174462808824
tau,0.004,0.008,2.5795000000000003,0.8504999999999999,0.7973719506240471,0.12587843373133456
tau,0.008,-0.008,2.5835000000000004,0.8344999999999999,0.4858421328447662,-0.18565138404794634
tau,0.008,-0.004,2.5835000000000004,0.8384999999999999,0.560384725576494,-0.11110879131621854
tau,0.008,0.0,2.5835000000000004,0.8424999999999999,0.6341770796374604,-0.03731643725525213
tau,0.008,0.004,2.5835000000000004,0.8464999999999999,0.7072191950276547,0.03572567813494221
tau,0.008,0.008,2.5835000000000004,0.8504999999999999,0.7795110717470948,0.10801755485438225
