step,mass_GeV,ax,ay,dax,day,z_target,z_pred,abs_err
0,1e-09,2.569500000,0.737250000,,,-1.451655236,-1.451633557,2.168e-05
1,3e-10,2.569500000,0.737250000,0.000000000e+00,0.000000000e+00,-1.451655236,-1.451633557,2.168e-05
2,9e-11,2.569500000,0.737250000,0.000000000e+00,0.000000000e+00,-1.451655236,-1.451633557,2.168e-05
3,2.7e-11,2.569500000,0.737250000,0.000000000e+00,0.000000000e+00,-1.451655236,-1.451633557,2.168e-05
4,8.099999999999998e-12,2.569500000,0.737250000,0.000000000e+00,0.000000000e+00,-1.451655236,-1.451633557,2.168e-05
5,2.43e-12,2.569500000,0.737250000,0.000000000e+00,0.000000000e+00,-1.451655236,-1.451633557,2.168e-05
6,7.289999999999998e-13,2.569500000,0.737250000,0.000000000e+00,0.000000000e+00,-1.451655236,-1.451633557,2.168e-05
7,2.186999999999999e-13,2.569500000,0.737250000,0.000000000e+00,0.000000000e+00,-1.451655236,-1.451633557,2.168e-05
8,6.560999999999998e-14,2.569500000,0.737250000,0.000000000e+00,0.000000000e+00,-1.451655236,-1.451633557,2.168e-05
9,1.968299999999999e-14,2.569500000,0.737250000,0.000000000e+00,0.000000000e+00,-1.451655236,-1.451633557,2.168e-05
10,5.904899999999998e-15,2.569500000,0.737250000,0.000000000e+00,0.000000000e+00,-1.451655236,-1.451633557,2.168e-05
11,1.771469999999999e-15,2.569500000,0.737250000,0.000000000e+00,0.000000000e+00,-1.451655236,-1.451633557,2.168e-05
