sp,n,Seff,Seff_sigma,w,Abar,Bbar,y,y_sigma,m_GeV,m_sigma_GeV
s,3,0.232284757,0.000618,0.427030489,0.235725667,0.244998,1.022426819,0.002721,178.0084268,0.473773433
d,3,0.232144786,0.000628,0.464360669,0.233454,0.247345,1.021810722,0.002765,177.901162,0.481397498
e,3,0.232101935,0.000611,0.390783646,0.237983,0.242695333,1.021622108,0.002687,177.8683234,0.467871818
u,3,0.231665716,0.000641,0.502545777,0.231168667,0.249738333,1.01970204,0.002821,177.5340324,0.491087354
mu,3,0.231613675,0.000605,0.356265923,0.240226667,0.240436,1.019472976,0.002661,177.4941513,0.463258351
c,3,0.230847601,0.0006,0.323585771,0.242456667,0.238218667,1.01610102,0.002639,176.9070809,0.459476043
tau,3,0.229834196,0.000595,0.292930374,0.244673333,0.236042333,1.011640406,0.00262,176.1304709,0.456230289
b,3,0.228605451,0.000591,0.26440871,0.246877,0.233906,1.006231952,0.002603,175.1888384,0.453201662
t,3,0.227189617,0.000587,0.237969274,0.249067333,0.231808333,1,0.002586,174.1038317,0.450194
nu1,3,0.225618361,0.000583,0.213623689,0.251244667,0.229748333,0.993083944,0.002567,172.8997198,0.446977
nu2,3,0.22392367,0.000579,0.191430958,0.253409,0.227724667,0.985624577,0.002547,171.6010155,0.443444251
nu3,3,0.222131672,0.000574,0.17133343,0.255560667,0.225736667,0.977736903,0.002525,170.2277412,0.439555573
