ax,ay,Lx,Ly,jitter,seed,sin2_eig,sin2_lab,gmin,gmax,condG,Kxx,Kyy,Kxy,v,mW,mZ
1.3,1.08,16,16,0.03,2025,0.5,0.5,8.000000001e+12,8.000000002e+12,1,1.25e-13,1.25e-13,-5.083802199e-24,246,4.348706704e-05,6.15e-05
1.3,1.08,16,16,0.03,2122,0.4254644007,0.5333333334,6.381966014e+12,8.618033993e+12,1.350372906,1.454545454e-13,1.272727272e-13,-1.818181816e-14,246,4.691035938e-05,6.423465503e-05
1.3,1.08,16,16,0.03,2219,0.4342332948,0.5294117648,7.381966013e+12,9.618033991e+12,1.302909547,1.267605634e-13,1.126760563e-13,-1.408450704e-14,246,4.379224319e-05,6.018668141e-05
1.3,1.08,16,16,0.03,2316,0.4705882353,0.4705882353,8.000000003e+12,9.000000003e+12,1.125,1.111111111e-13,1.25e-13,-3.030796115e-24,246,4.099999999e-05,5.976725691e-05
1.3,1.08,16,16,0.03,2413,0.4374999986,0.4374999986,7.000000002e+12,9.000000052e+12,1.285714293,1.111111105e-13,1.428571428e-13,-4.814052198e-24,246,4.099999988e-05,6.198617349e-05
1.3,1.08,16,16,0.03,2510,0.4254644008,0.4666666667,6.381966013e+12,8.61803399e+12,1.350372906,1.272727273e-13,1.454545454e-13,-1.818181817e-14,246,4.388062318e-05,6.423465504e-05
1.3,1.08,16,16,0.03,2607,0.4214325801,0.5555555553,7.585786445e+12,1.041421356e+13,1.372858785,1.265822783e-13,1.012658228e-13,-1.265822783e-14,246,4.376143609e-05,5.871212755e-05
1.3,1.08,16,16,0.03,2704,0.4666666665,0.4666666665,7.000000015e+12,8.000000021e+12,1.142857143,1.249999997e-13,1.428571425e-13,-1.27635478e-22,246,4.348706698e-05,6.365854777e-05
1.3,1.08,16,16,0.03,2801,0.4666666667,0.5333333333,7.000000001e+12,8.000000002e+12,1.142857143,1.428571428e-13,1.25e-13,-1.059952655e-23,246,4.648963018e-05,6.365854784e-05
1.3,1.08,16,16,0.03,2898,0.4000000002,0.4000000002,6.000000006e+12,9.000000001e+12,1.499999999,1.111111111e-13,1.666666665e-13,-1.11606663e-23,246,4.1e-05,6.482669201e-05
1.3,1.08,16,16,0.03,2995,0.4615384616,0.4615384616,6.000000003e+12,7.000000001e+12,1.166666666,1.428571428e-13,1.666666666e-13,-4.658771635e-24,246,4.648963018e-05,6.843088274e-05
1.3,1.08,16,16,0.03,3092,0.4375,0.4999999999,7.000000002e+12,9.000000002e+12,1.285714286,1.269841269e-13,1.26984127e-13,-1.587301586e-14,246,4.383084367e-05,6.198617357e-05
1.3,1.08,16,16,0.03,3189,0.5,0.5,9.000000001e+12,9.000000002e+12,1,1.111111111e-13,1.111111111e-13,-8.06367469e-24,246,4.1e-05,5.798275605e-05
1.3,1.08,16,16,0.03,3286,0.4705882354,0.4705882354,8.000000003e+12,9.000000002e+12,1.125,1.111111111e-13,1.249999999e-13,-1.257455103e-23,246,4.1e-05,5.976725691e-05
1.3,1.08,16,16,0.03,3383,0.4375,0.5625,7.000000001e+12,9.000000002e+12,1.285714286,1.428571428e-13,1.111111111e-13,-4.944361579e-24,246,4.648963018e-05,6.198617357e-05
1.3,1.08,16,16,0.03,3480,0.4285714287,0.5714285713,6.000000004e+12,8.000000002e+12,1.333333333,1.666666665e-13,1.25e-13,-1.161200664e-23,246,5.021453971e-05,6.642759214e-05
1.3,1.08,16,16,0.03,3577,0.4444444445,0.5,8.000000001e+12,1e+13,1.25,1.125e-13,1.125e-13,-1.25e-14,246,4.125545418e-05,5.834402283e-05
1.3,1.08,16,16,0.03,3674,0.3939543743,0.5882352941,6.697224363e+12,1.030277564e+13,1.538365012,1.449275362e-13,1.014492753e-13,-1.449275362e-14,246,4.682529973e-05,6.105272133e-05
1.3,1.08,16,16,0.03,3771,0.4736842105,0.5263157895,9.000000001e+12,1e+13,1.111111111,1.111111111e-13,9.999999999e-14,-5.302497838e-24,246,4.1e-05,5.651459988e-05
1.3,1.08,16,16,0.03,3868,0.5,0.5,8.000000001e+12,8.000000002e+12,1,1.25e-13,1.25e-13,-5.142848023e-24,246,4.348706704e-05,6.15e-05
1.3,1.08,16,16,0.03,3965,0.4214325799,0.5555555555,7.585786439e+12,1.041421356e+13,1.372858786,1.265822785e-13,1.012658228e-13,-1.265822784e-14,246,4.376143611e-05,5.871212757e-05
1.3,1.08,16,16,0.03,4062,0.4999999999,0.5,7.000000001e+12,7.000000004e+12,1,1.428571428e-13,1.428571428e-13,-2.741520591e-23,246,4.648963017e-05,6.57462655e-05
1.3,1.08,16,16,0.03,4159,0.4705882355,0.5294117645,8.000000008e+12,9.000000001e+12,1.124999999,1.249999999e-13,1.111111111e-13,-6.702495938e-24,246,4.348706702e-05,5.97672569e-05
1.3,1.08,16,16,0.03,4256,0.4285714286,0.4285714286,6.000000003e+12,8.000000001e+12,1.333333333,1.25e-13,1.666666666e-13,-9.236005652e-24,246,4.348706704e-05,6.642759215e-05
