ridge,sin2_mean,sin2_std,condG_mean
1e-14,0.5,6.973502068e-17,3.300096868
3.593813664e-14,0.5,1.012698225e-16,3.300096868
1.291549665e-13,0.5,8.326672685e-17,3.300096868
4.641588834e-13,0.5,1.189772461e-16,3.300096868
1.668100537e-12,0.5,7.244417919e-17,3.300096868
5.994842503e-12,0.5,9.862021202e-17,3.300096868
2.15443469e-11,0.5,6.938893904e-17,3.300096868
7.742636827e-11,0.5,8.441528768e-17,3.300096868
2.782559402e-10,0.5,1.09932754e-16,3.300096868
1e-09,0.5,7.601177431e-17,3.300096868
