alpha,dt,mu,beta,kappa,mscale,c0,ein_rms,ein_rel,mom_rms_abs,mom_rel,mom_rms_abs_src,mom_rel_src,score
4.0,0.1,0.003,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,0.6764051984995186,0.9999999999985216,0.6764051984995186,0.9999999999985216,1.3545778764380607
4.0,0.13,0.003,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,0.6764445876004267,0.9999999999985217,0.6764445876004267,0.9999999999985217,1.3545778764380607
4.0,0.17,0.003,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,0.676496633894642,0.9999999999985218,0.676496633894642,0.9999999999985218,1.3545778764380607
4.0,0.15,0.003,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,0.6764706780215515,0.9999999999985217,0.6764706780215515,0.9999999999985217,1.3545778764380607
4.0,0.15,0.004,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,0.9020470888159169,0.9999999999988914,0.9020470888159169,0.9999999999988914,1.3545778764383336
4.0,0.17,0.004,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,0.9020925994641846,0.9999999999988914,0.9020925994641846,0.9999999999988914,1.3545778764383336
4.0,0.13,0.004,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,0.9020012624407082,0.9999999999988913,0.9020012624407082,0.9999999999988913,1.3545778764383336
4.0,0.1,0.004,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,0.90193192716085,0.9999999999988913,0.90193192716085,0.9999999999988913,1.3545778764383336
4.0,0.17,0.005,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,1.1277353362491978,0.9999999999991132,1.1277353362491978,0.9999999999991132,1.3545778764384973
4.0,0.15,0.005,14.396902318242326,0.9999999999999997,0.00813674074070948,-101.91129712928145,251.02722493388123,0.9137183501158345,1.1276652045229203,0.9999999999991132,1.1276652045229203,0.9999999999991132,1.3545778764384973
