ay,A,B,A_condG,B_condG,w,S_pred,S_pred_minus_target
0.76,0.22656,0.254652,3.414,2.927,0.5745809032557565,0.22990587326573927,-0.001094127
0.77,0.228874,0.252163,3.369,2.966,0.5616786948132295,0.2304770648764947,-0.000522935
0.78,0.231173,0.249722,3.326,3.005,0.5489853390851254,0.230933871,-6.61E-05
0.79,0.233459,0.24733,3.284,3.043,0.5365409287217938,0.231282641,0.000282641
0.8,0.23573,0.244983,3.242,3.082,0.5238864651789837,0.23153047853769884,0.000530479
0.81,0.237988,0.242681,3.202,3.121,0.5115071953036532,0.23167549673243995,0.000675497
0.8200000000000001,0.240231,0.240422,3.163,3.16,0.49927068693559196,0.2317216392987953,0.000721639
0.8300000000000001,0.242461,0.238205,3.124,3.198,0.48719017278025095,0.23167348137535274,0.000673481
0.84,0.244678,0.236029,3.087,3.237,0.4752851461524158,0.23153474122907222,0.000534741
0.85,0.246881,0.233893,3.051,3.276,0.46357062270590255,0.23130885524770425,0.000308855
0.86,0.249072,0.231796,3.015,3.314,0.45204566843201954,0.23100054096783157,5.409678315582145e-07
0.87,0.251249,0.229736,2.98,3.353,0.4405847518220465,0.23060929976594768,-0.0003907
0.88,0.253413,0.227713,2.946,3.392,0.42935055625798807,0.2301423092958303,-0.000857691
0.89,0.255565,0.225725,2.913,3.43,0.41849469638766607,0.22960788174020794,-0.001392118
0.9,0.257704,0.223772,2.881,3.469,0.40774272331654876,0.22900252608757712,-0.001997474
