ay,A_mean,A_std,A_condG,B_mean,B_std,B_condG,S_mean,S_std,A_minus_B,abs_S_minus_target
0.76,0.22656,0.001568,3.414,0.254652,0.001753,2.927,0.240606,0.001175971,-0.028092,0.009606
0.77,0.228874,0.001532,3.369,0.252163,0.001693,2.966,0.24051850000000002,0.00114163,-0.023289,0.0095185
0.78,0.231173,0.001498,3.326,0.249722,0.001636,3.005,0.24044749999999998,0.00110911,-0.018549,0.0094475
0.79,0.233459,0.001465,3.284,0.24733,0.001582,3.043,0.2403945,0.001078071,-0.013871,0.0093945
0.8,0.23573,0.001433,3.242,0.244983,0.001531,3.082,0.2403565,0.001048505,-0.009253,0.0093565
0.81,0.237988,0.001403,3.202,0.242681,0.001482,3.121,0.2403345,0.001020384,-0.004693,0.0093345
0.8200000000000001,0.240231,0.001374,3.163,0.240422,0.001436,3.16,0.2403265,0.000993727,-0.000191,0.0093265
0.8300000000000001,0.242461,0.001345,3.124,0.238205,0.001393,3.198,0.24033300000000002,0.000968178,0.004256,0.009333
0.84,0.244678,0.001318,3.087,0.236029,0.001351,3.237,0.2403535,0.000943706,0.008649,0.0093535
0.85,0.246881,0.001292,3.051,0.233893,0.001312,3.276,0.240387,0.00092068,0.012988,0.009387
0.86,0.249072,0.001267,3.015,0.231796,0.001275,3.314,0.24043399999999998,0.000898737,0.017275999999999986,0.009434
0.87,0.251249,0.001243,2.98,0.229736,0.001239,3.353,0.2404925,0.000877521,0.021513000000000004,0.0094925
0.88,0.253413,0.001219,2.946,0.227713,0.001205,3.392,0.240563,0.000857028,0.0257,0.009563
0.89,0.255565,0.001196,2.913,0.225725,0.001173,3.43,0.240645,0.000837607,0.029839999999999978,0.009645
0.9,0.257704,0.001174,2.881,0.223772,0.001142,3.469,0.240738,0.000818908,0.033932,0.009738
