ay,A,B,cA,cB,feature,w_star,S_star,err_star,w_log,S_log,err_log,delta,S_log_bias,err_log_bias
0.76,0.22656,0.254652,3.414,2.927,0.1539066166625,0.8419478855190089,0.231,0.0,0.9999999938851327,0.22656000017177885,-0.004439999828221158,0.0011328622052996266,0.22542713796647923,-0.005572862033520781
0.77,0.228874,0.252163,3.369,2.966,0.12740172070867545,0.9087122675941426,0.231,0.0,0.9999998727378219,0.22887400296380886,-0.0021259970361911518,0.0011328622052996266,0.22774114075850924,-0.0032588592414907747
0.78,0.231173,0.249722,3.326,3.005,0.10149281278356506,1.0,0.231173,0.00017299999999997873,0.9999975261851766,0.23117304588679116,0.00017304588679115107,0.0011328622052996266,0.23004018368149154,-0.0009598163185084718
0.79,0.233459,0.24733,3.284,3.043,0.07621832067534764,1.0,0.233459,0.002458999999999989,0.9999552840112268,0.23345962025548025,0.0024596202554802438,0.0011328622052996266,0.23232675805018063,0.0013267580501806209
0.8,0.23573,0.244983,3.242,3.082,0.05061168641556046,1.0,0.23573,0.004729999999999984,0.9991610192950002,0.23573776308846336,0.004737763088463354,0.0011328622052996266,0.23460490088316374,0.003604900883163731
0.81,0.237988,0.242681,3.202,3.121,0.025622151285880544,1.0,0.237988,0.006987999999999994,0.9855215097730147,0.23805594755463524,0.0070559475546352335,0.0011328622052996266,0.23692308534933562,0.005923085349335611
0.8200000000000001,0.240231,0.240422,3.163,3.16,0.0009489167246910487,1.0,0.240231,0.00923099999999999,0.8013502853054953,0.24026894209550664,0.009268942095506633,0.0011328622052996266,0.23913607989020702,0.00813607989020701
0.8300000000000001,0.242461,0.238205,3.124,3.198,-0.023411382434322867,0.0,0.238205,0.007204999999999989,0.1985857391016622,0.23905018090561667,0.008050180905616655,0.0011328622052996266,0.23791731870031704,0.006917318700317032
0.84,0.244678,0.236029,3.087,3.237,-0.04744722942408498,0.0,0.236029,0.005028999999999978,0.015551711385517175,0.23616350675177333,0.005163506751773322,0.0011328622052996266,0.2350306445464737,0.0040306445464736995
0.85,0.246881,0.233893,3.051,3.276,-0.07115376025629026,0.0,0.233893,0.002892999999999979,0.0010447329283997033,0.23390656899127404,0.0029065689912740333,0.0011328622052996266,0.23277370678597442,0.0017737067859744104
0.86,0.249072,0.231796,3.015,3.314,-0.09455608882522235,0.0,0.231796,0.0007959999999999912,7.168571465678755e-05,0.2317972384424064,0.000797238442406395,0.0011328622052996266,0.23066437623710678,-0.00033562376289322793
0.87,0.251249,0.229736,2.98,3.353,-0.11793216696677843,0.05875517129177776,0.231,0.0,4.929147097454461e-06,0.2297361060407415,-0.0012638939592585219,0.0011328622052996266,0.22860324383544187,-0.0023967561645581448
0.88,0.253413,0.227713,2.946,3.392,-0.14097139988921797,0.12789883268482538,0.23099999999999998,-2.7755575615628914e-17,3.5223952846621045e-07,0.22771300905255587,-0.0032869909474441406,0.0011328622052996266,0.22658014684725625,-0.0044198531527437634
0.89,0.255565,0.225725,2.913,3.43,-0.16337678320055105,0.17677613941018785,0.23099999999999998,-2.7755575615628914e-17,2.706632251611655e-08,0.2257250008076591,-0.005274999192340923,0.0011328622052996266,0.22459213860235946,-0.006407861397640546
0.9,0.257704,0.223772,2.881,3.469,-0.18572891188522123,0.21301426382176158,0.231,0.0,2.092517438276913e-09,0.22377200007100329,-0.007227999928996726,0.0011328622052996266,0.22263913786570366,-0.008360862134296349
