seed,Lx,Ly,ax,ay,V,E,F,Kxx,Kyy,Kxy,R,sin2,g,gp,v,mW,mZ,mA,rho
2025,16,16,1.3,1.08,256,831,579,0.003558869802592612,0.0023949636783133867,-4.786069981422477e-06,1.4859806997569527,0.5977442624161293,105.32314486356097,128.38976462784353,246.0,12954.746818218,20425.740310361318,0.0,1.0
2122,16,16,1.3,1.08,256,831,579,0.0016256356432726945,0.00196776663781936,-0.00010572759724256394,0.8261323329854763,0.4523945598372178,155.83616853563356,141.64233311741367,246.0,19167.848729882928,25902.369619676345,0.0,1.0000000000000002
2219,16,16,1.3,1.08,256,827,575,0.00741371611928243,0.00238635817006266,-0.00036816354980467793,3.1067072044293185,0.7564959101731328,72.9729481230493,128.62105113781493,246.0,8975.672619135064,18189.211534629387,0.0,1.0000000000000002
2316,16,16,1.3,1.08,256,827,575,0.0033499845801915015,0.002761004520344311,8.8462052964486e-06,1.2133209328370609,0.5481902397596773,108.55715781965655,119.57662996834891,246.0,13352.530411817756,19864.87202333283,0.0,0.9999999999999998
2413,16,16,1.3,1.08,256,828,576,0.0028895308101329273,0.0023160936420352496,-0.0005242396042344686,1.2475880757540416,0.5550786148104515,116.88699766351412,130.55749574078652,246.0,14377.100712612237,21554.08914365711,0.0,0.9999999999999997
2510,16,16,1.3,1.08,256,828,576,0.0034315382158136287,0.0018571997750466659,-0.0003641819501789731,1.8476947186402737,0.6488387629986254,107.25942104535511,145.79766113985335,246.0,13192.90878857868,22263.18395451863,0.0,1.0000000000000004
2607,16,16,1.3,1.08,256,825,573,0.0033203728634687937,0.0010170121142217285,3.6026772771183997e-07,3.26483118247782,0.7655241304489311,109.04015004613518,197.02294450834708,246.0,13411.938455674628,27697.62138389117,0.0,0.9999999999999999
2704,16,16,1.3,1.08,256,828,577,0.003487729279724436,0.0013524336761699175,-0.0002276456279446896,2.578854210138911,0.7205809621506807,106.39188037835261,170.85271329843584,246.0,13086.20128653737,24756.29218071803,0.0,0.9999999999999998
2801,16,16,1.3,1.08,256,825,573,0.004161926984444581,0.0022683818184351,-3.121866092272809e-06,1.8347559262821949,0.6472359434092416,97.39409803434286,131.92338598936766,246.0,11979.474058224172,20169.5211362493,0.0,1.0000000000000004
2898,16,16,1.3,1.08,256,828,576,0.005464919166523991,0.0017658714755408407,-3.8437518319791114e-06,3.094743440968844,0.7557844552616481,84.99394687347818,149.52035609200584,246.0,10454.255465437816,21154.6798151879,0.0,1.0
2995,16,16,1.3,1.08,256,828,576,0.005339968637324313,0.0030313450964014155,5.201237911836322e-06,1.7615838736617355,0.6378889630920225,85.98258846127133,114.1201090924927,246.0,10575.858380736374,17574.976201640668,0.0,0.9999999999999993
3092,16,16,1.3,1.08,256,827,575,0.0010636864356444468,0.0024067153432948134,-8.977037564716783e-05,0.44196603416682056,0.30650238888753856,192.65179411082545,128.07592613752374,246.0,23696.17067563153,28454.809640144285,0.0,0.9999999999999998
3189,16,16,1.3,1.08,256,826,574,0.004491755524016312,0.0014020249727746215,-0.00022941673057448763,3.2037628510475695,0.7621178845160588,93.75011584957907,167.80387815709628,246.0,11531.264249498226,23642.64321764486,0.0,0.9999999999999999
3286,16,16,1.3,1.08,256,828,577,0.0023606945114837546,0.002232724075781813,-5.2090892559639425e-06,1.0573158309573616,0.5139297598586723,129.31829594962696,132.97265513428553,246.0,15906.150401804116,22814.74235207302,0.0,1.0000000000000002
3383,16,16,1.3,1.08,256,825,573,0.008742535655259924,0.0023768068991295763,-1.607270834396283e-07,3.678269218446638,0.786245734628321,67.19874499839383,128.8792258333507,246.0,8265.445634802441,17877.58612309735,0.0,1.0000000000000002
3480,16,16,1.3,1.08,256,829,577,0.002603425264198543,0.0018904111089638785,-0.00026190292433358727,1.377174124640784,0.5793324562831044,123.14231416235727,144.51127673646783,246.0,15146.504641969943,23353.012912763385,0.0,0.9999999999999999
3577,16,16,1.3,1.08,256,830,579,0.0033363085337765283,0.0029558608091328617,-3.952084861051345e-06,1.128709621057994,0.5302318408731633,108.77942659206639,115.56807481759185,246.0,13379.869470824166,19521.360793276144,0.0,0.9999999999999997
3674,16,16,1.3,1.08,256,826,574,0.0038596995967255217,0.0008495320165894733,3.8359817506276156e-07,4.543324467299833,0.8196028383510622,101.13538128093168,215.57082952193997,246.0,12439.651897554597,29288.24693271609,0.0,1.0
3771,16,16,1.3,1.08,256,830,578,0.0037772650781151456,0.0014175234533009527,-0.00013311161100198592,2.664693179727728,0.7271258599405324,102.2330073855314,166.8840157880945,246.0,12574.65990842036,24072.15981451283,0.0,0.9999999999999998
3868,16,16,1.3,1.08,256,828,576,0.00392268252036832,0.0020859948722428807,-0.000290390550983921,1.8804852171811026,0.6528362672943627,100.32017665597412,137.56984567794078,246.0,12339.381728684817,20942.389135404974,0.0,1.0000000000000002
3965,16,16,1.3,1.08,256,828,576,0.008038982785400328,0.0021065730685916858,-1.727104061221199e-05,3.8161423903395177,0.792364942945654,70.07761600958933,136.89626666294058,246.0,8619.546769179487,18916.208386709608,0.0,0.9999999999999998
4062,16,16,1.3,1.08,256,825,573,0.002611479202226731,0.0021231074384369174,-0.00010487523356831883,1.2300268723797438,0.5515749104256922,122.95227887062717,136.36216329535756,246.0,15123.130301087142,22583.785605786834,0.0,0.9999999999999999
4159,16,16,1.3,1.08,256,828,576,0.0023170294633007424,0.002058481042862674,1.60078707525695e-07,1.1256015552509107,0.5295449433927621,130.5311277506664,138.4861789132014,246.0,16055.328713331966,23407.774835481003,0.0,0.9999999999999998
4256,16,16,1.3,1.08,256,827,575,0.006321444129049708,0.0024181512959594287,-0.00021962590367559072,2.614164026714302,0.723310842394412,79.02631230436316,127.77271805816966,246.0,9720.236413436669,18479.09751685954,0.0,0.9999999999999997
