ay,A,B,cA,cB,rule,w_pred,S_pred,S_err
0.76,0.22656,0.254652,3.414,2.927,power_softmax,0.7669622657556635,0.2331064960303919,0.0021064960303918967
0.77,0.228874,0.252163,3.369,2.966,power_softmax,0.7283147978385011,0.23520127667313917,0.004201276673139159
0.78,0.231173,0.249722,3.326,3.005,power_softmax,0.6868759716399525,0.23698113760205053,0.005981137602050518
0.79,0.233459,0.24733,3.284,3.043,power_softmax,0.6433490388577048,0.23840610548200478,0.007406105482004766
0.8,0.23573,0.244983,3.242,3.082,power_softmax,0.5967001636913726,0.23946173338536372,0.008461733385363712
0.81,0.237988,0.242681,3.202,3.121,power_softmax,0.5494170085990462,0.24010258597864467,0.009102585978644662
0.8200000000000001,0.240231,0.240422,3.163,3.16,power_softmax,0.5018361456082933,0.2403261492961888,0.009326149296188802
0.8300000000000001,0.242461,0.238205,3.124,3.198,power_softmax,0.4548225239830773,0.24014072466207198,0.00914072466207197
0.84,0.244678,0.236029,3.087,3.237,power_softmax,0.4092077267261585,0.23956823762845456,0.008568237628454545
0.85,0.246881,0.233893,3.051,3.276,power_softmax,0.3656950357865792,0.2386426471247961,0.0076426471247960925
0.86,0.249072,0.231796,3.015,3.314,power_softmax,0.3247857908418313,0.2374069993225835,0.006406999322583484
0.87,0.251249,0.229736,2.98,3.353,power_softmax,0.2864282401208698,0.2358979307297203,0.004897930729720279
0.88,0.253413,0.227713,2.946,3.392,power_softmax,0.2514076906351345,0.23417417764932297,0.0031741776493229568
0.89,0.255565,0.225725,2.913,3.43,power_softmax,0.22019398160421771,0.23229558841106984,0.0012955884110698312
0.9,0.257704,0.223772,2.881,3.469,power_softmax,0.19192630699007018,0.23028444344878707,-0.0007155565512129425
