species,ay_over_ax,p,q,p_over_q,abs_err
u,0.2974261201143947,11,37,0.2972972972972973,0.00012882281709736265
d,0.301009716136407,22,73,0.3013698630136986,0.00036014687729163386
s,0.31392463947898896,16,51,0.3137254901960784,0.0001991492829105379
e,0.2915107346858381,7,24,0.2916666666666667,0.00015593198082858306
mu,0.31409936696719737,11,35,0.3142857142857143,0.00018634731851691066
c,0.3280552987983764,21,64,0.328125,6.970120162358429e-05
tau,0.32712094738885655,18,55,0.32727272727272727,0.0001517798838707174
b,0.3351504138905713,1,3,0.3333333333333333,0.0018170805572380044
t,0.34781125639567934,8,23,0.34782608695652173,1.4830560842393758e-05
nu1,0.2870711378174065,23,80,0.2875,0.0004288621825934702
nu2,0.2867750508050649,23,80,0.2875,0.0007249491949350984
nu3,0.2869314865968953,23,80,0.2875,0.0005685134031046535
H,0.351661912391075,19,54,0.35185185185185186,0.00018993946077683344
W,0.3537831072351421,23,65,0.35384615384615387,6.304661101175224e-05
Z,0.3488594680892489,15,43,0.3488372093023256,2.225878692330152e-05
