species,ay_over_ax,p,q,p_over_q,abs_err
u,0.2974261201143947,11,37,0.2972972972972973,0.0001288228170973
d,0.301009716136407,19,63,0.3015873015873015,0.0005775854508945
s,0.3139246394789889,16,51,0.3137254901960784,0.0001991492829105
e,0.2915107346858381,7,24,0.2916666666666667,0.0001559319808285
mu,0.3140993669671973,11,35,0.3142857142857143,0.0001863473185169
c,0.3280552987983764,21,64,0.328125,6.970120162358429e-05
tau,0.3271209473888565,18,55,0.3272727272727272,0.0001517798838707
b,0.3351504138905713,1,3,0.3333333333333333,0.001817080557238
t,0.3478112563956793,8,23,0.3478260869565217,1.4830560842393758e-05
nu1,0.2870711378174065,17,59,0.288135593220339,0.0010644554029324
nu2,0.2867750508050649,2,7,0.2857142857142857,0.0010607650907791
nu3,0.2869314865968953,17,59,0.288135593220339,0.0012041066234436
H,0.351661912391075,19,54,0.3518518518518518,0.0001899394607768
W,0.3537831072351421,17,48,0.3541666666666667,0.0003835594315245
Z,0.3488594680892489,15,43,0.3488372093023256,2.225878692330152e-05
